IRV4_LEVEL_ENTRY_MAX_CHASE_ATR,IRV4_LEVEL_ENTRY_VALIDITY_BARS,IRV4_RETEST_MIN_QUALITY,IRV4_TP_RR,avg_loss,avg_win,combo,days,end_date_utc,ending_equity,entry_execution,fee_bps_per_side,fold,max_drawdown,net_pnl,news_blocked_signals,phase,profit_factor,score,slippage_bps_per_side,starting_equity,strategies,summary_path,symbols,tag,trades,winrate
0.4,2,0.55,2.5,-0.2601,0.1628,21,120,2025-11-02,100.23,next_open,6.0000,1,0.2780,0.23,0,train,1.877,4.256500,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135239_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c021_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c021_20260701_104508,4,0.750
0.6,2,0.55,2.5,-0.2601,0.1628,22,120,2025-11-02,100.23,next_open,6.0000,1,0.2780,0.23,0,train,1.877,4.256500,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135300_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c022_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c022_20260701_104508,4,0.750
0.4,4,0.55,2.5,-0.2966,0.1628,23,120,2025-11-02,99.90,next_open,6.0000,1,0.3504,-0.10,0,train,0.823,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135323_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c023_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c023_20260701_104508,5,0.600
0.6,4,0.55,2.5,-0.2966,0.1628,24,120,2025-11-02,99.90,next_open,6.0000,1,0.3504,-0.10,0,train,0.823,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135344_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c024_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c024_20260701_104508,5,0.600
0.4,2,0.35,3.0,-0.2943,0.2576,25,120,2025-11-02,102.10,next_open,6.0000,1,0.6873,2.10,0,train,2.189,10.658875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135406_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c025_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c025_20260701_104508,21,0.714
0.6,2,0.35,3.0,-0.2943,0.2576,26,120,2025-11-02,102.10,next_open,6.0000,1,0.6873,2.10,0,train,2.189,10.658875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135428_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c026_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c026_20260701_104508,21,0.714
0.4,4,0.35,3.0,-0.3069,0.2576,27,120,2025-11-02,100.80,next_open,6.0000,1,1.0217,0.80,0,train,1.259,4.640875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135450_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c027_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c027_20260701_104508,25,0.600
0.6,4,0.35,3.0,-0.3069,0.2576,28,120,2025-11-02,100.80,next_open,6.0000,1,1.0217,0.80,0,train,1.259,4.640875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135511_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c028_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c028_20260701_104508,25,0.600
0.4,2,0.45,3.0,-0.2965,0.2677,29,120,2025-11-02,101.19,next_open,6.0000,1,0.7701,1.19,0,train,1.805,6.817375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135534_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c029_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c029_20260701_104508,15,0.667
0.6,2,0.45,3.0,-0.2965,0.2677,30,120,2025-11-02,101.19,next_open,6.0000,1,0.7701,1.19,0,train,1.805,6.817375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135556_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c030_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c030_20260701_104508,15,0.667
