trades,net_r,pf,win_rate,avg_r,tag,symbol
15,-6.2499,0.4807802543802079,0.2,-0.4167,choch_long_rr2.0_sl1.0_h12_b0.1,XAUUSD
23,-11.5284,0.4662357685558585,0.2609,-0.5012,choch_long_rr2.0_sl1.0_h12_b0.1,EURUSD
18,-11.5479,0.36502202207155937,0.2778,-0.6416,choch_long_rr2.0_sl1.0_h12_b0.1,USDJPY
13,-4.1036,0.5851093945889109,0.2308,-0.3157,choch_long_rr2.0_sl1.0_h12_b0.2,XAUUSD
25,-4.6164,0.7494341588914399,0.4,-0.1847,choch_long_rr2.0_sl1.0_h12_b0.2,GBPUSD
13,-6.6879,0.47389908906404876,0.3077,-0.5145,choch_long_rr2.0_sl1.0_h12_b0.2,USDJPY
23,-11.5716,0.46490700750043934,0.2609,-0.5031,choch_long_rr2.0_sl1.0_h12_b0.2,EURUSD
25,1.5259,1.1081630917107335,0.48,0.061,choch_long_rr2.0_sl1.0_h6_b0.1,GBPUSD
15,-7.046,0.3795678283993449,0.2,-0.4697,choch_long_rr2.0_sl1.0_h6_b0.1,XAUUSD
19,-11.7562,0.2469959775563014,0.3158,-0.6187,choch_long_rr2.0_sl1.0_h6_b0.1,USDJPY
23,-12.5345,0.4012515226062242,0.2174,-0.545,choch_long_rr2.0_sl1.0_h6_b0.1,EURUSD
25,-3.063,0.8165582665564699,0.4,-0.1225,choch_long_rr2.0_sl1.0_h6_b0.2,GBPUSD
13,-5.6048,0.4347378824858301,0.2308,-0.4311,choch_long_rr2.0_sl1.0_h6_b0.2,XAUUSD
14,-7.1712,0.33823040862278986,0.3571,-0.5122,choch_long_rr2.0_sl1.0_h6_b0.2,USDJPY
23,-12.1814,0.4081355009863275,0.2174,-0.5296,choch_long_rr2.0_sl1.0_h6_b0.2,EURUSD
15,1.6746,1.2565925562723137,0.6,0.1116,choch_short_rr1.0_sl0.8_h12_b0.1,XAUUSD
24,-6.8418,0.5309980806142034,0.5417,-0.2851,choch_short_rr1.0_sl0.8_h12_b0.1,EURUSD
41,-8.0653,0.6369925285804302,0.6098,-0.1967,choch_short_rr1.0_sl0.8_h12_b0.1,GBPUSD
13,-9.1742,0.21469231230151595,0.3846,-0.7057,choch_short_rr1.0_sl0.8_h12_b0.1,USDJPY
13,1.8999,1.351924573037454,0.6154,0.1461,choch_short_rr1.0_sl0.8_h12_b0.2,XAUUSD
38,-5.939,0.6947047544632531,0.6316,-0.1563,choch_short_rr1.0_sl0.8_h12_b0.2,GBPUSD
11,-6.1235,0.2874348352262148,0.4545,-0.5567,choch_short_rr1.0_sl0.8_h12_b0.2,USDJPY
23,-7.5004,0.4858513846997532,0.5217,-0.3261,choch_short_rr1.0_sl0.8_h12_b0.2,EURUSD
16,0.4406,1.0643361953156942,0.5,0.0275,choch_short_rr1.0_sl0.8_h6_b0.1,XAUUSD
25,-3.4824,0.7098773660357238,0.6,-0.1393,choch_short_rr1.0_sl0.8_h6_b0.1,EURUSD
41,-6.3307,0.6855404331412676,0.6098,-0.1544,choch_short_rr1.0_sl0.8_h6_b0.1,GBPUSD
13,-9.1742,0.21469231230151595,0.3846,-0.7057,choch_short_rr1.0_sl0.8_h6_b0.1,USDJPY
14,0.1405,1.0224940362786379,0.5,0.01,choch_short_rr1.0_sl0.8_h6_b0.2,XAUUSD
24,-4.141,0.6550086643561717,0.5833,-0.1725,choch_short_rr1.0_sl0.8_h6_b0.2,EURUSD
38,-4.5211,0.7443395159466184,0.6316,-0.119,choch_short_rr1.0_sl0.8_h6_b0.2,GBPUSD
11,-6.1235,0.2874348352262148,0.4545,-0.5567,choch_short_rr1.0_sl0.8_h6_b0.2,USDJPY
14,3.0198,1.5638794487806698,0.6429,0.2157,choch_short_rr1.0_sl1.0_h12_b0.1,XAUUSD
24,-2.8426,0.7737359908303616,0.5833,-0.1184,choch_short_rr1.0_sl1.0_h12_b0.1,EURUSD
40,-4.9375,0.7574496723421397,0.6,-0.1234,choch_short_rr1.0_sl1.0_h12_b0.1,GBPUSD
12,-6.4136,0.3236953381206964,0.4167,-0.5345,choch_short_rr1.0_sl1.0_h12_b0.1,USDJPY
13,4.1199,1.9681808568138555,0.6923,0.3169,choch_short_rr1.0_sl1.0_h12_b0.2,XAUUSD
38,-2.3412,0.8683528359921053,0.6316,-0.0616,choch_short_rr1.0_sl1.0_h12_b0.2,GBPUSD
24,-2.8345,0.7743807310239429,0.5833,-0.1181,choch_short_rr1.0_sl1.0_h12_b0.2,EURUSD
11,-7.099,0.2653040103492885,0.3636,-0.6454,choch_short_rr1.0_sl1.0_h12_b0.2,USDJPY
15,3.1944,1.736902812060255,0.6,0.213,choch_short_rr1.0_sl1.0_h6_b0.1,XAUUSD
24,-0.7551,0.9247548628826532,0.625,-0.0315,choch_short_rr1.0_sl1.0_h6_b0.1,EURUSD
40,-4.1062,0.7650350770780164,0.575,-0.1027,choch_short_rr1.0_sl1.0_h6_b0.1,GBPUSD
12,-4.3187,0.4154756104163283,0.4167,-0.3599,choch_short_rr1.0_sl1.0_h6_b0.1,USDJPY
14,2.5123,1.5092534409016276,0.5714,0.1795,choch_short_rr1.0_sl1.0_h6_b0.2,XAUUSD
24,-0.5579,0.9444056919642857,0.625,-0.0232,choch_short_rr1.0_sl1.0_h6_b0.2,EURUSD
38,-2.1032,0.8642781549263056,0.6053,-0.0553,choch_short_rr1.0_sl1.0_h6_b0.2,GBPUSD
11,-5.0041,0.338746762513875,0.3636,-0.4549,choch_short_rr1.0_sl1.0_h6_b0.2,USDJPY
14,4.7703,1.7312373536084371,0.5714,0.3407,choch_short_rr1.5_sl0.8_h12_b0.1,XAUUSD
40,-1.6797,0.9330057473785812,0.55,-0.042,choch_short_rr1.5_sl0.8_h12_b0.1,GBPUSD
22,-2.7094,0.8187352815242989,0.5,-0.1232,choch_short_rr1.5_sl0.8_h12_b0.1,EURUSD
12,-12.5168,0.14711293421823685,0.1667,-1.0431,choch_short_rr1.5_sl0.8_h12_b0.1,USDJPY
13,5.8953,2.0920053347164083,0.6154,0.4535,choch_short_rr1.5_sl0.8_h12_b0.2,XAUUSD
38,1.0656,1.0476642035390313,0.5789,0.028,choch_short_rr1.5_sl0.8_h12_b0.2,GBPUSD
22,-2.6992,0.8194176835795333,0.5,-0.1227,choch_short_rr1.5_sl0.8_h12_b0.2,EURUSD
11,-11.1235,0.1625447016751365,0.1818,-1.0112,choch_short_rr1.5_sl0.8_h12_b0.2,USDJPY
15,4.2386,1.7373914858822916,0.5333,0.2826,choch_short_rr1.5_sl0.8_h6_b0.1,XAUUSD
23,-1.209,0.9080706236598384,0.5652,-0.0526,choch_short_rr1.5_sl0.8_h6_b0.1,EURUSD
40,-1.7463,0.9222640165594604,0.55,-0.0437,choch_short_rr1.5_sl0.8_h6_b0.1,GBPUSD
12,-12.5168,0.14711293421823685,0.1667,-1.0431,choch_short_rr1.5_sl0.8_h6_b0.1,USDJPY
14,3.6359,1.5821072349145866,0.5,0.2597,choch_short_rr1.5_sl0.8_h6_b0.2,XAUUSD
38,1.3157,1.0677082529243151,0.5789,0.0346,choch_short_rr1.5_sl0.8_h6_b0.2,GBPUSD
23,-0.9624,0.9268214790820749,0.5652,-0.0418,choch_short_rr1.5_sl0.8_h6_b0.2,EURUSD
11,-11.1235,0.1625447016751365,0.1818,-1.0112,choch_short_rr1.5_sl0.8_h6_b0.2,USDJPY
14,6.4682,2.2077902677671135,0.6429,0.462,choch_short_rr1.5_sl1.0_h12_b0.1,XAUUSD
21,-2.2423,0.8332527719319119,0.4762,-0.1068,choch_short_rr1.5_sl1.0_h12_b0.1,EURUSD
36,-3.3253,0.8603583741721994,0.5,-0.0924,choch_short_rr1.5_sl1.0_h12_b0.1,GBPUSD
12,-11.1713,0.17239821015824094,0.1667,-0.9309,choch_short_rr1.5_sl1.0_h12_b0.1,USDJPY
13,7.5683,2.778558503513266,0.6923,0.5822,choch_short_rr1.5_sl1.0_h12_b0.2,XAUUSD
34,-0.7159,0.9662642313202141,0.5294,-0.0211,choch_short_rr1.5_sl1.0_h12_b0.2,GBPUSD
21,-2.2342,0.8338551233333086,0.4762,-0.1064,choch_short_rr1.5_sl1.0_h12_b0.2,EURUSD
11,-9.8567,0.19099952395804262,0.1818,-0.8961,choch_short_rr1.5_sl1.0_h12_b0.2,USDJPY
15,6.4553,2.4891462317469837,0.6,0.4304,choch_short_rr1.5_sl1.0_h6_b0.1,XAUUSD
36,-0.6241,0.9670302966269578,0.5278,-0.0173,choch_short_rr1.5_sl1.0_h6_b0.1,GBPUSD
22,-1.0043,0.9060664446855476,0.5,-0.0456,choch_short_rr1.5_sl1.0_h6_b0.1,EURUSD
12,-8.2756,0.21948183009988018,0.1667,-0.6896,choch_short_rr1.5_sl1.0_h6_b0.1,USDJPY
14,5.7732,2.1702511503456106,0.5714,0.4124,choch_short_rr1.5_sl1.0_h6_b0.2,XAUUSD
34,1.1385,1.0662534916201118,0.5588,0.0335,choch_short_rr1.5_sl1.0_h6_b0.2,GBPUSD
22,-0.8071,0.9245108309326948,0.5,-0.0367,choch_short_rr1.5_sl1.0_h6_b0.2,EURUSD
11,-6.961,0.25054639807926266,0.1818,-0.6328,choch_short_rr1.5_sl1.0_h6_b0.2,USDJPY
13,5.4547,1.8361487522226991,0.5385,0.4196,choch_short_rr2.0_sl0.8_h12_b0.1,XAUUSD
21,0.1533,1.010235148019068,0.4762,0.0073,choch_short_rr2.0_sl0.8_h12_b0.1,EURUSD
34,-3.4756,0.8693353985428243,0.4412,-0.1022,choch_short_rr2.0_sl0.8_h12_b0.1,GBPUSD
12,-11.5168,0.21525232014609086,0.1667,-0.9597,choch_short_rr2.0_sl0.8_h12_b0.1,USDJPY
12,6.5797,2.2187789426888456,0.5833,0.5483,choch_short_rr2.0_sl0.8_h12_b0.2,XAUUSD
21,0.1635,1.0109161559107478,0.4762,0.0078,choch_short_rr2.0_sl0.8_h12_b0.2,EURUSD
32,-0.714,0.9700743112690754,0.4688,-0.0223,choch_short_rr2.0_sl0.8_h12_b0.2,GBPUSD
11,-10.1235,0.2378317334839074,0.1818,-0.9203,choch_short_rr2.0_sl0.8_h12_b0.2,USDJPY
14,3.2038,1.5437634718851307,0.4286,0.2288,choch_short_rr2.0_sl0.8_h6_b0.1,XAUUSD
34,0.0194,1.0008928324880573,0.5,0.0006,choch_short_rr2.0_sl0.8_h6_b0.1,GBPUSD
22,-0.3011,0.9773355112118087,0.5,-0.0137,choch_short_rr2.0_sl0.8_h6_b0.1,EURUSD
12,-11.5168,0.21525232014609086,0.1667,-0.9597,choch_short_rr2.0_sl0.8_h6_b0.1,USDJPY
32,2.781,1.1464586087222133,0.5312,0.0869,choch_short_rr2.0_sl0.8_h6_b0.2,GBPUSD
13,2.6011,1.4070642733063115,0.3846,0.2001,choch_short_rr2.0_sl0.8_h6_b0.2,XAUUSD
22,-0.0545,0.9958976597842697,0.5,-0.0025,choch_short_rr2.0_sl0.8_h6_b0.2,EURUSD
11,-10.1235,0.2378317334839074,0.1818,-0.9203,choch_short_rr2.0_sl0.8_h6_b0.2,USDJPY
13,7.3419,2.371164441124288,0.6154,0.5648,choch_short_rr2.0_sl1.0_h12_b0.1,XAUUSD
18,-0.3867,0.965763309104109,0.4444,-0.0215,choch_short_rr2.0_sl1.0_h12_b0.1,EURUSD
34,-2.9694,0.8802994328190946,0.4118,-0.0873,choch_short_rr2.0_sl1.0_h12_b0.1,GBPUSD
12,-11.9724,0.12686061012697,0.0833,-0.9977,choch_short_rr2.0_sl1.0_h12_b0.1,USDJPY
12,8.442,2.9842986084994356,0.6667,0.7035,choch_short_rr2.0_sl1.0_h12_b0.2,XAUUSD
18,-0.3786,0.9664804469273742,0.4444,-0.021,choch_short_rr2.0_sl1.0_h12_b0.2,EURUSD
31,-2.0381,0.9081676331571572,0.4194,-0.0657,choch_short_rr2.0_sl1.0_h12_b0.2,GBPUSD
11,-10.6578,0.14031281004734902,0.0909,-0.9689,choch_short_rr2.0_sl1.0_h12_b0.2,USDJPY
14,6.4286,2.483294877711122,0.5714,0.4592,choch_short_rr2.0_sl1.0_h6_b0.1,XAUUSD
20,0.7347,1.0813720386758077,0.55,0.0367,choch_short_rr2.0_sl1.0_h6_b0.1,EURUSD
34,-4.6101,0.7939463557007683,0.4118,-0.1356,choch_short_rr2.0_sl1.0_h6_b0.1,GBPUSD
12,-9.0334,0.16146998486944092,0.0833,-0.7528,choch_short_rr2.0_sl1.0_h6_b0.1,USDJPY
13,5.7465,2.165051496229016,0.5385,0.442,choch_short_rr2.0_sl1.0_h6_b0.2,XAUUSD
20,0.9319,1.1032130159820135,0.55,0.0466,choch_short_rr2.0_sl1.0_h6_b0.2,EURUSD
31,-4.1391,0.7931815002098614,0.4194,-0.1335,choch_short_rr2.0_sl1.0_h6_b0.2,GBPUSD
11,-7.7188,0.18391254242305702,0.0909,-0.7017,choch_short_rr2.0_sl1.0_h6_b0.2,USDJPY
