strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason,signal_ts,signal_entry_price,initial_sl,tp_prices,signal_reason,initial_notional,initial_risk_usd
alt_trendline_touch_v1,ADAUSDT,short,1735718400000,1735725000000,0.85112974,0.84227278,35.24022084,0.27631580,0.003109,0.03580553,sl,att1_short_trendline tf=60 tl=0.8561 slope=-2.529%/d rsi=50.3  r2=0.636 pivots=3 age=7 entrydist=0.610 touchdist=-0.359 reject=0.610 body=0.663 atrpct=0.921 anchors=1735632000000:0.8724|1735650000000:0.8785|1735689600000:0.8604+TRAIL_SL,1735718400000,0.85130000,0.86470824,0.835210115139|0.817779406539,att1_short_trendline tf=60 tl=0.8561 slope=-2.529%/d rsi=50.3  r2=0.636 pivots=3 age=7 entrydist=0.610 touchdist=-0.359 reject=0.610 body=0.663 atrpct=0.921 anchors=1735632000000:0.8724|1735650000000:0.8785|1735689600000:0.8604,29.99400000,0.47850925
alt_trendline_touch_v1,LTCUSDT,short,1735819200000,1735825200000,106.29873600,107.79567727,0.28216704,-0.45863373,-0.005144,0.03624623,sl,att1_short_trendline tf=60 tl=106.5390 slope=-2.492%/d rsi=55.7  r2=0.635 pivots=3 age=7 entrydist=0.195 touchdist=-0.197 reject=0.195 body=0.374 atrpct=1.056 anchors=1735761600000:108.05|1735779600000:108.03|1735790400000:107.07+SL,1735819200000,106.32000000,107.77412245,104.575053061|102.684693878,att1_short_trendline tf=60 tl=106.5390 slope=-2.492%/d rsi=55.7  r2=0.635 pivots=3 age=7 entrydist=0.195 touchdist=-0.197 reject=0.195 body=0.374 atrpct=1.056 anchors=1735761600000:108.05|1735779600000:108.03|1735790400000:107.07,29.99400000,0.41630543
alt_trendline_touch_v1,SOLUSDT,short,1736028000000,1736048100000,215.90681000,218.75554036,0.13892105,-0.43197885,-0.004871,0.03623025,sl,att1_short_trendline tf=60 tl=217.2134 slope=-0.495%/d rsi=45.7  r2=1.000 pivots=3 age=8 entrydist=0.928 touchdist=0.487 reject=0.928 body=0.418 atrpct=0.631 anchors=1735956000000:218.06|1735970400000:217.88|1735995600000:217.57+SL,1736028000000,215.95000000,218.71179800,212.635842396|209.045504992,att1_short_trendline tf=60 tl=217.2134 slope=-0.495%/d rsi=45.7  r2=1.000 pivots=3 age=8 entrydist=0.928 touchdist=0.487 reject=0.928 body=0.418 atrpct=0.631 anchors=1735956000000:218.06|1735970400000:217.88|1735995600000:217.57,29.99400000,0.38967187
alt_trendline_touch_v1,ADAUSDT,short,1736031600000,1736049300000,1.07428510,1.05632966,27.91996277,0.46562309,0.005251,0.03569201,sl,att1_short_trendline tf=60 tl=1.0819 slope=-3.369%/d rsi=56.7  r2=0.974 pivots=3 age=8 entrydist=0.635 touchdist=0.454 reject=0.635 body=0.333 atrpct=1.083 anchors=1735934400000:1.1194|1735956000000:1.1146|1735999200000:1.0931+TRAIL_SL,1736031600000,1.07450000,1.09468262,1.05028085714|1.02404345238,att1_short_trendline tf=60 tl=1.0819 slope=-3.369%/d rsi=56.7  r2=0.974 pivots=3 age=8 entrydist=0.635 touchdist=0.454 reject=0.635 body=0.333 atrpct=1.083 anchors=1735934400000:1.1194|1735956000000:1.1146|1735999200000:1.0931,29.99400000,0.56949797
alt_trendline_touch_v1,ETHUSDT,short,1736236800000,1736250600000,3665.25680200,3630.47413886,0.00818333,0.24881594,0.002804,0.03582202,sl,att1_short_trendline tf=60 tl=3674.8387 slope=-2.630%/d rsi=47.3  r2=0.676 pivots=3 age=5 entrydist=0.406 touchdist=-0.185 reject=0.406 body=0.277 atrpct=0.595 anchors=1736179200000:3744.73|1736193600000:3702.95|1736215200000:3701.35+TP1+TRAIL_SL,1736236800000,3665.99000000,3698.83754135,3626.57295038|3583.87114662,att1_short_trendline tf=60 tl=3674.8387 slope=-2.630%/d rsi=47.3  r2=0.676 pivots=3 age=5 entrydist=0.406 touchdist=-0.185 reject=0.406 body=0.277 atrpct=0.595 anchors=1736179200000:3744.73|1736193600000:3702.95|1736215200000:3701.35,29.99400000,0.27480222
alt_trendline_touch_v1,LTCUSDT,short,1736388000000,1736423400000,101.47970000,103.80394730,0.29227094,-0.71530900,-0.008039,0.03599907,sl,att1_short_trendline tf=60 tl=101.9690 slope=-2.955%/d rsi=46.4  r2=0.961 pivots=3 age=10 entrydist=0.284 touchdist=-0.310 reject=0.284 body=0.400 atrpct=1.625 anchors=1736301600000:104.93|1736326800000:103.78|1736348400000:103.32+SL,1736388000000,101.50000000,103.78319066,98.7601712036|95.7920233408,att1_short_trendline tf=60 tl=101.9690 slope=-2.955%/d rsi=46.4  r2=0.961 pivots=3 age=10 entrydist=0.284 touchdist=-0.310 reject=0.284 body=0.400 atrpct=1.625 anchors=1736301600000:104.93|1736326800000:103.78|1736348400000:103.32,29.65956690,0.67324337
alt_trendline_touch_v1,LINKUSDT,short,1736542800000,1736721300000,20.27294460,19.65481118,1.08756530,0.64620603,0.007324,0.02605443,sl,att1_short_trendline tf=60 tl=20.4684 slope=-0.437%/d rsi=52.1  r2=0.661 pivots=3 age=3 entrydist=0.505 touchdist=0.157 reject=0.505 body=0.378 atrpct=1.870 anchors=1736492400000:20.527|1736503200000:20.49|1736528400000:20.484+TRAIL_SL,1736542800000,20.27700000,20.88549014,19.5468118264|18.7557746383,att1_short_trendline tf=60 tl=20.4684 slope=-0.437%/d rsi=52.1  r2=0.661 pivots=3 age=3 entrydist=0.505 touchdist=0.157 reject=0.505 body=0.378 atrpct=1.870 anchors=1736492400000:20.527|1736503200000:20.49|1736528400000:20.484,22.04815111,0.66618328
alt_trendline_touch_v1,DOTUSDT,short,1736406000000,1736740800000,6.67366500,6.46932671,2.83148295,0.55625188,0.006253,0.02232849,sl,att1_short_trendline tf=60 tl=6.7925 slope=-3.490%/d rsi=47.6  r2=1.000 pivots=3 age=5 entrydist=1.093 touchdist=0.460 reject=1.093 body=0.667 atrpct=1.609 anchors=1736323200000:7.006|1736348400000:6.938|1736384400000:6.841+TRAIL_SL,1736406000000,6.67500000,6.91062805,6.39224634051|6.08592987606,att1_short_trendline tf=60 tl=6.7925 slope=-3.490%/d rsi=47.6  r2=1.000 pivots=3 age=5 entrydist=1.093 touchdist=0.460 reject=1.093 body=0.667 atrpct=1.609 anchors=1736323200000:7.006|1736348400000:6.938|1736384400000:6.841,18.89636864,0.67095683
alt_trendline_touch_v1,SOLUSDT,short,1736535600000,1736747700000,189.88201600,184.14358495,0.10258240,0.56564096,0.006410,0.02302107,sl,att1_short_trendline tf=60 tl=192.7954 slope=-0.111%/d rsi=52.2  r2=0.750 pivots=3 age=7 entrydist=0.884 touchdist=0.257 reject=0.884 body=0.556 atrpct=1.712 anchors=1736434800000:193.02|1736492400000:192.95|1736506800000:192.81+TRAIL_SL,1736535600000,189.92000000,196.37198810,182.177614286|173.790029762,att1_short_trendline tf=60 tl=192.7954 slope=-0.111%/d rsi=52.2  r2=0.750 pivots=3 age=7 entrydist=0.884 touchdist=0.257 reject=0.884 body=0.556 atrpct=1.712 anchors=1736434800000:193.02|1736492400000:192.95|1736506800000:192.81,19.47855285,0.66575691
alt_trendline_touch_v1,ETHUSDT,short,1736884800000,1736947800000,3211.98747400,3263.00258406,0.00933814,-0.51266505,-0.005695,0.03627863,sl,att1_short_trendline tf=60 tl=3224.1345 slope=-1.987%/d rsi=59.7  r2=0.992 pivots=3 age=5 entrydist=0.331 touchdist=-0.316 reject=0.331 body=0.462 atrpct=1.081 anchors=1736726400000:3337.84|1736845200000:3255.84|1736863200000:3233+SL,1736884800000,3212.63000000,3262.35011404,3152.96586315|3088.3297149,att1_short_trendline tf=60 tl=3224.1345 slope=-1.987%/d rsi=59.7  r2=0.992 pivots=3 age=5 entrydist=0.331 touchdist=-0.316 reject=0.331 body=0.462 atrpct=1.081 anchors=1736726400000:3337.84|1736845200000:3255.84|1736863200000:3233,29.99400000,0.47029356
