candidate,fold,train_start,train_end,oos_start,oos_end,picked,status,trades,net_pnl,profit_factor,winrate,max_drawdown,run_dir,error
td120_lb60_top5_s0.5_w1.5-8,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_094111_ars1_dynamic_range_picker_td120_lb60_top5_s0.5_w1.5-8_f0_20260704_055013,
td120_lb60_top5_s0.5_w1.5-8,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top5_s0.5_w1.5-8,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,"TAOUSDT,1000PEPEUSDT",ok,17,1.06,1.287,0.294,2.013,backtest_runs/portfolio_20260704_094115_ars1_dynamic_range_picker_td120_lb60_top5_s0.5_w1.5-8_f2_20260704_055013,
td120_lb60_top5_s0.5_w1.5-8,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,XLMUSDT,ok,1,-0.36,0.0,0.0,0.3565,backtest_runs/portfolio_20260704_094119_ars1_dynamic_range_picker_td120_lb60_top5_s0.5_w1.5-8_f3_20260704_055013,
td120_lb60_top5_s0.5_w1.5-12,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_094122_ars1_dynamic_range_picker_td120_lb60_top5_s0.5_w1.5-12_f0_20260704_055013,
td120_lb60_top5_s0.5_w1.5-12,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top5_s0.5_w1.5-12,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,"TAOUSDT,1000PEPEUSDT",ok,17,1.06,1.287,0.294,2.013,backtest_runs/portfolio_20260704_094127_ars1_dynamic_range_picker_td120_lb60_top5_s0.5_w1.5-12_f2_20260704_055013,
td120_lb60_top5_s0.5_w1.5-12,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,XLMUSDT,ok,1,-0.36,0.0,0.0,0.3565,backtest_runs/portfolio_20260704_094131_ars1_dynamic_range_picker_td120_lb60_top5_s0.5_w1.5-12_f3_20260704_055013,
td120_lb60_top5_s0.5_w2-8,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_094134_ars1_dynamic_range_picker_td120_lb60_top5_s0.5_w2-8_f0_20260704_055013,
td120_lb60_top5_s0.5_w2-8,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top5_s0.5_w2-8,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,TAOUSDT,ok,10,0.35,1.17,0.3,1.9225,backtest_runs/portfolio_20260704_094138_ars1_dynamic_range_picker_td120_lb60_top5_s0.5_w2-8_f2_20260704_055013,
td120_lb60_top5_s0.5_w2-8,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top5_s0.5_w2-12,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_094141_ars1_dynamic_range_picker_td120_lb60_top5_s0.5_w2-12_f0_20260704_055013,
td120_lb60_top5_s0.5_w2-12,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top5_s0.5_w2-12,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,TAOUSDT,ok,10,0.35,1.17,0.3,1.9225,backtest_runs/portfolio_20260704_094145_ars1_dynamic_range_picker_td120_lb60_top5_s0.5_w2-12_f2_20260704_055013,
