tag,market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars,symbol,trades,net_r,pf,win_rate
bos_long_rr2.5_sl1.0_h12_b0.1_cd5,fx,bos,long,2.5,1.0,12,0.1,5,XAUUSD,425,0.6975,1.0023882291631716,0.36
bos_long_rr2.5_sl1.0_h12_b0.1_cd10,fx,bos,long,2.5,1.0,12,0.1,10,XAUUSD,370,-4.7025,0.9817118914123865,0.3541
bos_long_rr2.5_sl1.0_h12_b0.1_cd20,fx,bos,long,2.5,1.0,12,0.1,20,XAUUSD,292,-4.2085,0.9792237887002291,0.3527
bos_long_rr2.5_sl1.0_h12_b0.2_cd0,fx,bos,long,2.5,1.0,12,0.2,0,XAUUSD,562,-34.4637,0.9135448572740205,0.3381
bos_long_rr2.5_sl1.0_h12_b0.2_cd5,fx,bos,long,2.5,1.0,12,0.2,5,XAUUSD,398,-7.6092,0.9724110225383223,0.3543
bos_long_rr2.5_sl1.0_h12_b0.2_cd10,fx,bos,long,2.5,1.0,12,0.2,10,XAUUSD,349,-8.4181,0.9654028599633894,0.3524
bos_long_rr2.5_sl1.0_h12_b0.2_cd20,fx,bos,long,2.5,1.0,12,0.2,20,XAUUSD,283,-14.0792,0.9296011488465283,0.3392
bos_short_rr1.5_sl0.8_h6_b0.1_cd0,fx,bos,short,1.5,0.8,6,0.1,0,XAUUSD,535,-61.2371,0.8202978548581155,0.4075
bos_short_rr1.5_sl0.8_h6_b0.1_cd5,fx,bos,short,1.5,0.8,6,0.1,5,XAUUSD,337,-40.5381,0.8116285553640051,0.4065
bos_short_rr1.5_sl0.8_h6_b0.1_cd10,fx,bos,short,1.5,0.8,6,0.1,10,XAUUSD,281,-29.1548,0.8361413280202781,0.4164
bos_short_rr1.5_sl0.8_h6_b0.1_cd20,fx,bos,short,1.5,0.8,6,0.1,20,XAUUSD,229,-23.5311,0.8387450248347094,0.4192
bos_short_rr1.5_sl0.8_h6_b0.2_cd0,fx,bos,short,1.5,0.8,6,0.2,0,XAUUSD,498,-54.2778,0.8277162688077946,0.4096
bos_short_rr1.5_sl0.8_h6_b0.2_cd5,fx,bos,short,1.5,0.8,6,0.2,5,XAUUSD,318,-38.8521,0.807266527304169,0.4057
bos_short_rr1.5_sl0.8_h6_b0.2_cd10,fx,bos,short,1.5,0.8,6,0.2,10,XAUUSD,264,-21.3096,0.8696269032473973,0.4242
bos_short_rr1.5_sl0.8_h6_b0.2_cd20,fx,bos,short,1.5,0.8,6,0.2,20,XAUUSD,218,-13.1216,0.901794795609146,0.4358
bos_short_rr1.5_sl0.8_h12_b0.1_cd0,fx,bos,short,1.5,0.8,12,0.1,0,XAUUSD,530,-60.3588,0.8293291620506016,0.4
bos_short_rr1.5_sl0.8_h12_b0.1_cd5,fx,bos,short,1.5,0.8,12,0.1,5,XAUUSD,335,-37.9392,0.8302624232272473,0.4
bos_short_rr1.5_sl0.8_h12_b0.1_cd10,fx,bos,short,1.5,0.8,12,0.1,10,XAUUSD,279,-17.0974,0.9050542161783343,0.4229
bos_short_rr1.5_sl0.8_h12_b0.1_cd20,fx,bos,short,1.5,0.8,12,0.1,20,XAUUSD,226,-8.2245,0.9427156720643742,0.4336
bos_short_rr1.5_sl0.8_h12_b0.2_cd0,fx,bos,short,1.5,0.8,12,0.2,0,XAUUSD,493,-44.2637,0.8632150249412394,0.4097
bos_short_rr1.5_sl0.8_h12_b0.2_cd5,fx,bos,short,1.5,0.8,12,0.2,5,XAUUSD,316,-32.3971,0.8452950687686772,0.4051
bos_short_rr1.5_sl0.8_h12_b0.2_cd10,fx,bos,short,1.5,0.8,12,0.2,10,XAUUSD,262,-8.758,0.9472485270184156,0.4351
bos_short_rr1.5_sl0.8_h12_b0.2_cd20,fx,bos,short,1.5,0.8,12,0.2,20,XAUUSD,215,1.0987,1.0082712506474265,0.4512
bos_short_rr1.5_sl1.0_h6_b0.1_cd0,fx,bos,short,1.5,1.0,6,0.1,0,XAUUSD,484,-44.6512,0.8436884200562146,0.4132
bos_short_rr1.5_sl1.0_h6_b0.1_cd5,fx,bos,short,1.5,1.0,6,0.1,5,XAUUSD,326,-30.9979,0.8381129797272385,0.4202
bos_short_rr1.5_sl1.0_h6_b0.1_cd10,fx,bos,short,1.5,1.0,6,0.1,10,XAUUSD,276,-23.0362,0.8577182368727437,0.4312
bos_short_rr1.5_sl1.0_h6_b0.1_cd20,fx,bos,short,1.5,1.0,6,0.1,20,XAUUSD,227,-10.323,0.9204021913878918,0.4493
bos_short_rr1.5_sl1.0_h6_b0.2_cd0,fx,bos,short,1.5,1.0,6,0.2,0,XAUUSD,456,-44.2264,0.8350214269514045,0.4101
bos_short_rr1.5_sl1.0_h6_b0.2_cd5,fx,bos,short,1.5,1.0,6,0.2,5,XAUUSD,305,-31.157,0.8255907032461389,0.4164
bos_short_rr1.5_sl1.0_h6_b0.2_cd10,fx,bos,short,1.5,1.0,6,0.2,10,XAUUSD,260,-19.3107,0.8717226865915543,0.4346
bos_short_rr1.5_sl1.0_h6_b0.2_cd20,fx,bos,short,1.5,1.0,6,0.2,20,XAUUSD,216,-8.047,0.9340422270727682,0.4491
bos_short_rr1.5_sl1.0_h12_b0.1_cd0,fx,bos,short,1.5,1.0,12,0.1,0,XAUUSD,473,-28.6755,0.9037485226872608,0.4123
bos_short_rr1.5_sl1.0_h12_b0.1_cd5,fx,bos,short,1.5,1.0,12,0.1,5,XAUUSD,318,-20.1024,0.9003901662641457,0.4151
bos_short_rr1.5_sl1.0_h12_b0.1_cd10,fx,bos,short,1.5,1.0,12,0.1,10,XAUUSD,275,-11.6771,0.9321599354894557,0.4218
bos_short_rr1.5_sl1.0_h12_b0.1_cd20,fx,bos,short,1.5,1.0,12,0.1,20,XAUUSD,221,10.6522,1.0821212985591266,0.4615
bos_short_rr1.5_sl1.0_h12_b0.2_cd0,fx,bos,short,1.5,1.0,12,0.2,0,XAUUSD,442,-23.0705,0.9164915633692952,0.4163
