strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason
inplay,WLFIUSDT,long,1756602600000,1756604700000,0.29715942,0.30599379,82.59758821,0.69980617,0.006623,0.02989140,tp,retest_long+TP1
inplay,WLFIUSDT,long,1756613700000,1756614300000,0.31356270,0.30798839,97.55293553,-0.58017078,-0.005456,0.03638048,sl,retest_long+SL
inplay,WLFIUSDT,long,1756620600000,1756620900000,0.31556310,0.32088581,135.82893626,0.67110913,0.006346,0.05186891,tp,retest_long+TP1
inplay,WLFIUSDT,long,1756620900000,1756624200000,0.32286456,0.33840231,47.54087215,0.71981567,0.006764,0.01886232,tp,retest_long+TP1
inplay,MYXUSDT,long,1755068700000,1755069300000,1.75767146,1.74227219,36.44512252,-0.63776195,-0.005952,0.07653353,sl,retest_long+SL
inplay,MYXUSDT,long,1755069300000,1755069900000,1.75563106,1.78355322,26.04051144,0.67181008,0.006308,0.05529730,tp,retest_long+TP1
inplay,ETHUSDT,long,1741454100000,1741485000000,2207.63143800,2185.56280000,0.02492949,-0.61587200,-0.005829,0.06571206,sl,retest_long+SL
inplay,MYXUSDT,long,1755077400000,1755077700000,1.83461685,1.86587025,23.32231724,0.67711938,0.006352,0.05178236,tp,retest_long+TP1
inplay,MYXUSDT,long,1755077700000,1755079200000,1.87965586,1.80896278,7.66715908,-0.55898381,-0.005211,0.01696874,sl,retest_long+SL
inplay,WLFIUSDT,long,1756637400000,1756641000000,0.38037606,0.39449609,52.59837923,0.71823622,0.006696,0.02445421,tp,retest_long+TP1
inplay,ENAUSDT,long,1741580400000,1741581000000,0.44678934,0.45459906,94.11979465,0.68414634,0.006368,0.05090309,tp,retest_long+TP1
inplay,OPUSDT,long,1741607400000,1741613400000,0.92368470,0.91225323,48.85772651,-0.61233563,-0.005664,0.05381985,sl,retest_long+SL
inplay,KITEUSDT,long,1762563900000,1762566300000,0.07810562,0.07628474,300.28724429,-0.57460331,-0.005345,0.02781687,sl,retest_long+SL
inplay,KITEUSDT,long,1762568400000,1762569000000,0.07953590,0.07834433,460.89754373,-0.59285442,-0.005544,0.04365997,sl,retest_long+SL
inplay,ASTERUSDT,long,1759128000000,1759128900000,1.97659524,1.94241144,15.91846942,-0.58158453,-0.005469,0.03743075,sl,retest_long+SL
inplay,MYXUSDT,long,1755298500000,1755298800000,2.13199631,2.21411909,8.91985418,0.70926314,0.006707,0.02326003,tp,retest_long+TP1
inplay,MYXUSDT,long,1755298800000,1755300600000,2.22136418,2.08421165,3.90571349,-0.54576833,-0.005126,0.01008981,sl,retest_long+SL
inplay,TAOUSDT,long,1741710600000,1741713900000,258.70173000,254.23164350,0.12125619,-0.57934349,-0.005470,0.03731781,sl,retest_long+SL
inplay,PIPPINUSDT,long,1741716900000,1741720200000,0.01921384,0.01893693,1966.28448667,-0.58950451,-0.005567,0.04500916,sl,retest_long+SL
