symbol,hor_min,tag,adverse,move
BTCUSDT,30,обычно,2.6499109176312117,11.103369136400653
BTCUSDT,30,обычно,1.0095830680006814,4.811349879506571
BTCUSDT,30,обычно,2.0644002322207804,-20.458920379322112
BTCUSDT,30,обычно,0.7315965479714016,2.749428651680871
BTCUSDT,30,обычно,1.8645079380583676,4.283265658323922
BTCUSDT,30,обычно,2.111037474941925,-6.6737044497899864
BTCUSDT,30,обычно,1.5411607322050902,1.4810415022701278
BTCUSDT,30,обычно,3.6022346067658253,28.268603155684985
BTCUSDT,30,обычно,0.857367025722169,-0.2648113258397603
BTCUSDT,30,обычно,6.317870717911853,-52.00704939092402
BTCUSDT,30,обычно,4.121578621476268,49.23933987832864
BTCUSDT,30,обычно,1.0550969052406298,1.8848986687166047
BTCUSDT,30,обычно,4.602828134021726,-61.66346606213929
BTCUSDT,30,обычно,3.7176088505954774,34.44877959167406
BTCUSDT,30,обычно,5.366536201432467,84.72321480159172
BTCUSDT,30,обычно,1.3383219872408552,-32.33671434204606
BTCUSDT,30,обычно,1.2344958135808497,-19.66850722867674
BTCUSDT,30,обычно,1.1927798352590075,24.927139375729816
BTCUSDT,30,обычно,0.8762710461810564,-5.277500922289721
BTCUSDT,30,обычно,1.5295383304829648,-26.60701439908756
BTCUSDT,30,обычно,1.7660077143932578,6.025874070296619
BTCUSDT,30,обычно,2.302197082266739,-14.284971199292881
BTCUSDT,30,обычно,1.0659052233069042,-4.632745795812967
BTCUSDT,30,обычно,1.0493880206347537,-1.7151214503952408
BTCUSDT,30,обычно,5.796220060061859,76.82095175469937
BTCUSDT,30,обычно,4.080881223517625,68.67470242215143
BTCUSDT,30,обычно,3.95187692744432,65.12434907812141
BTCUSDT,30,обычно,2.249753186466185,-19.35094272983272
BTCUSDT,30,обычно,0.9709219961454961,-11.863366242222025
BTCUSDT,30,обычно,1.7148567080605914,-24.968106717429414
BTCUSDT,30,обычно,1.9760371532165473,-18.718124232277997
BTCUSDT,30,обычно,2.5363929617279437,-26.1859349953679
BTCUSDT,30,обычно,1.7615464473858413,-11.795010633298137
BTCUSDT,30,обычно,1.4534394661010468,-4.235884521442411
BTCUSDT,30,обычно,2.515279430198693,-16.228402325882996
BTCUSDT,30,обычно,5.5299159491317385,-51.9890325813977
BTCUSDT,30,обычно,1.38584447968652,9.27897143543657
BTCUSDT,30,обычно,2.36546101637368,33.43912206591342
BTCUSDT,30,обычно,3.020736935643071,-40.44845454630024
BTCUSDT,30,обычно,0.8257449546221601,0.3273901625786001
BTCUSDT,30,обычно,0.8879772040911768,-6.766042849810766
BTCUSDT,30,обычно,1.979214455493104,-20.33954737597463
BTCUSDT,30,обычно,2.437468571876192,-27.000014038239552
BTCUSDT,30,обычно,4.410921744459583,-18.224216870556422
BTCUSDT,30,обычно,1.4489579547317144,-11.656456677512873
BTCUSDT,30,обычно,3.939483703383258,-13.203736505555645
BTCUSDT,30,обычно,0.8519372162984792,-10.628041233074322
BTCUSDT,30,обычно,1.7822038786619068,-24.273472587028866
BTCUSDT,30,обычно,2.371236599486775,1.1058285992965642
BTCUSDT,30,обычно,1.287117144583704,-15.609825004319404
BTCUSDT,30,обычно,3.8749456341728354,39.392750835592885
BTCUSDT,30,обычно,2.5876614795270227,-39.610206160302596
BTCUSDT,30,обычно,1.6374806535005364,-2.957448129593542
BTCUSDT,30,обычно,0.7020962608672143,-16.60013945700562
BTCUSDT,30,обычно,0.8920936507947966,-15.31289726522601
BTCUSDT,30,обычно,2.2948743500271753,-32.52113765811818
BTCUSDT,30,обычно,1.6632694408073287,0.4014558395091983
BTCUSDT,30,обычно,0.5390853513817323,-6.632999897122445
BTCUSDT,30,обычно,1.9613252449680545,21.91236573760337
BTCUSDT,30,обычно,2.3014770128164725,-28.037289565197238
BTCUSDT,30,обычно,2.9197887279806145,23.650922926149757
BTCUSDT,30,обычно,1.5488414375923856,14.829357847279184
BTCUSDT,30,обычно,3.613620894232388,26.281934853910727
BTCUSDT,30,обычно,1.6848196096891925,-2.5503251005741814
BTCUSDT,30,обычно,3.596529446748847,48.95548190722084
BTCUSDT,30,обычно,1.5952634316147247,21.617042321614626
BTCUSDT,30,обычно,2.812966265888052,13.444401478079625
BTCUSDT,30,обычно,1.1828643658767073,-9.960152249584583
BTCUSDT,30,обычно,1.4076021543424995,-11.695189313633653
BTCUSDT,30,обычно,2.029116531151165,18.18933681232549
BTCUSDT,30,обычно,1.2313642361943515,-7.754090431691483
BTCUSDT,30,обычно,1.3265209533256859,1.2797133459571512
BTCUSDT,30,обычно,11.703161411397653,117.78586473833282
BTCUSDT,30,обычно,0.9036950634698596,-7.999261052658809
BTCUSDT,30,обычно,6.962406503586033,-116.38572852559264
