dimension,bucket,trades,symbols,net_r,gross_r,cost_r,mean_net_r,mean_gross_r,mean_cost_r,t_stat_net_r,profit_factor_net_r,win_rate,net_r_share
entry_utc_hour,11,15,11,-4.913948258743353,-2.7426730278380553,2.171275230905298,-0.3275965505828902,-0.18284486852253704,0.14475168206035322,-1.5612028848158905,0.3812530238509528,0.26666666666666666,0.03741345934597452
entry_utc_hour,17,27,19,-4.388914917341645,0.28486940039931263,4.6737843177409575,-0.16255240434598686,0.010550718533307876,0.17310312287929472,-0.8146400514135124,0.6785878363511608,0.37037037037037035,0.03341599894560039
entry_utc_hour,21,23,16,-4.301872498703504,-0.3451295459194984,3.9567429527840052,-0.18703793472623928,-0.015005632431282539,0.17203230229495675,-1.0621317332891693,0.6025555989996307,0.4782608695652174,0.03275328175371726
entry_utc_hour,23,19,11,-4.137638534659911,-1.39929770713481,2.738340827525101,-0.2177704491926269,-0.07364724774393737,0.1441232014486895,-1.1476203089633046,0.5491127744244897,0.3684210526315789,0.0315028492270743
entry_utc_hour,13,25,13,-2.7654806116306374,0.896866579194016,3.6623471908246534,-0.1106192244652255,0.03587466316776064,0.14649388763298613,-0.6988898407300399,0.727138683030525,0.48,0.02105561373203858
entry_utc_hour,03,20,12,-2.575526910325732,0.2633507902678587,2.8388777005935903,-0.1287763455162866,0.013167539513392935,0.14194388502967953,-0.9544992072137946,0.5920556910871525,0.45,0.019609358153595453
entry_utc_hour,12,29,16,-2.205087364892438,2.1636768147340835,4.368764179626522,-0.07603749534111855,0.07460954533565806,0.15064704067677662,-0.49280369364700616,0.8046611090840026,0.4827586206896552,0.016788932674236798
entry_utc_hour,04,32,17,-1.96130877543035,2.497105718452517,4.458414493882867,-0.06129089923219844,0.07803455370164115,0.1393254529338396,-0.37586728499372435,0.8366609241984763,0.4375,0.01493286910457454
entry_utc_hour,15,17,10,-1.9202731869142153,0.7478079850870106,2.668081172001226,-0.11295724628907149,0.04398870500511827,0.15694595129418976,-0.5939677146902862,0.7211713740972043,0.5294117647058824,0.014620435346251012
entry_utc_hour,22,25,14,-1.535443140761821,1.8255765988530903,3.3610197396149113,-0.06141772563047284,0.07302306395412361,0.13444078958459646,-0.4943926688988636,0.7985132364035642,0.48,0.011690444526503538
entry_utc_hour,10,27,18,-1.2363631501948178,2.099547219342755,3.3359103695375727,-0.045791227784993255,0.07776100812380574,0.12355223590879899,-0.31283607099580246,0.8568231906694407,0.48148148148148145,0.00941333119948317
entry_utc_hour,02,24,12,-0.04175609207302551,3.1869526279419205,3.2287087200149465,-0.0017398371697093962,0.13278969283091335,0.13452953000062276,-0.010989767156275526,0.9944369422747168,0.5416666666666666,0.00031791947553400194
entry_utc_hour,01,14,10,0.8731037887741384,2.726586986080437,1.8534831973062986,0.06236455634100989,0.19475621329145978,0.1323916569504499,0.340433987006712,1.2364801214202998,0.5,-0.0066475736792701206
exit_path,TRAIL_SL,309,24,-206.47808423102515,-161.68660314730232,44.79148108372284,-0.6682138648253241,-0.523257615363438,0.14495624946188623,-43.84622710533551,0.0,0.0,1.5720677148903672
exit_path,SL,62,16,-76.0223780979042,-63.99805384688629,12.024324251017902,-1.2261673886758742,-1.0322266749497788,0.1939407137260952,-123.15976035425112,0.0,0.0,0.578813614345546
exit_path,SL_same_bar,3,3,-1.0040620228094443,-0.5522190516804926,0.4518429711289517,-0.33468734093648145,-0.18407301722683087,0.15061432370965058,-5.906594600833691,0.0,0.0,0.007644653889950547
exit_path,TP1+SL_same_bar,1,1,0.10563259704921876,0.3057470032485261,0.20011440619930737,0.10563259704921876,0.3057470032485261,0.20011440619930737,0.0,inf,1.0,-0.0008042577306911495
exit_path,TP1+TRAIL_SL,106,21,24.910615170314962,40.13695879955429,15.226343629239329,0.2350058034935374,0.37865055471277637,0.14364475121923895,16.041437271902765,349.85309173591094,0.9716981132075472,-0.18966261728529757
exit_path,TP1+TP2+TRAIL_SL,139,23,127.14655238553848,145.42132672566552,18.27477434012704,0.9147233984571114,1.046196595148673,0.13147319669156143,23.856697059389045,inf,1.0,-0.968059108109875
hold_minutes,"(-inf,15]m",400,24,-174.4149224791596,-116.17951778394402,58.23540469521558,-0.436037306197899,-0.29044879445986005,0.14558851173803894,-13.071750153872415,0.23707555144823383,0.28,1.3279475623078898
hold_minutes,"(60,240]m",15,11,10.210345970818652,12.209314946554617,1.998968975735965,0.6806897313879101,0.8139543297703078,0.13326459838239765,2.5493672098566362,6.9317563668358035,0.6666666666666666,-0.0777387843284391
hold_minutes,"(15,60]m",205,23,32.862852309504824,63.59735931998865,30.734507010483828,0.16030659663173086,0.31023102107311534,0.1499244244413845,2.9210629562813875,1.6172470211245742,0.5902439024390244,-0.2502087779794506
htf,long,620,24,-131.34172419883612,-40.37284351740075,90.96888068143538,-0.21184149064328406,-0.06511748954419476,0.1467240010990893,-6.74151359571114,0.5368375465087956,0.3919354838709677,1.0
initial_stop_pct,"(0.5,1]%",357,24,-102.38346250564159,-41.613332803209055,60.770129702432534,-0.28678841037994846,-0.11656395743195813,0.1702244529479903,-6.909489993528501,0.43509440138582356,0.3641456582633053,0.7795197080757438
initial_stop_pct,"(0.25,0.5]%",52,17,-22.69624098458052,-8.811371704020136,13.884869280560384,-0.4364661727803946,-0.16944945584654109,0.26701671693385354,-3.2634801845705987,0.3821336002166536,0.36538461538461536,0.17280297729471744
initial_stop_pct,"(1,2]%",153,22,-12.981285578896415,0.9279952175833368,13.90928079647975,-0.0848450037836367,0.006065328219498933,0.09091033200313563,-1.5933115941543257,0.7390008564626058,0.41830065359477125,0.09883596136780004
