market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars,trades,net_r,pf,win_rate,symbols,positive_symbols,top_symbol_frac,coverage_ok_symbols,cost_ok,cost_skipped_symbols,cost_reasons,preflight_go,preflight_reasons
crypto,choch,short,1.5,1.3,24,0.1,10,1200,-95.8932,0.8730865178545786,0.4267,12,2,0.0917,12,True,0,,True,ready_for_gate
crypto,choch,short,1.5,1.3,24,0.1,20,1089,-86.3514,0.8745356915107154,0.427,12,1,0.0937,12,True,0,,True,ready_for_gate
crypto,choch,short,1.5,1.3,24,0.2,10,1094,-92.4004,0.866683172488143,0.425,12,2,0.0923,12,True,0,,True,ready_for_gate
crypto,choch,short,1.5,1.3,24,0.2,20,999,-86.1518,0.8647535276770668,0.4234,12,3,0.0921,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.0,12,0.1,10,1228,-121.8846,0.8562013821984785,0.3836,12,3,0.0936,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.0,12,0.1,20,1120,-111.7163,0.8564370615913371,0.3848,12,3,0.0938,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.0,12,0.2,10,1118,-122.9218,0.8426920509075468,0.3775,12,2,0.0939,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.0,12,0.2,20,1025,-118.625,0.8362639272281667,0.3776,12,3,0.0927,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.0,24,0.1,10,1212,-148.592,0.8355866332481643,0.3556,12,3,0.0924,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.0,24,0.1,20,1104,-125.4551,0.8472189561113038,0.3587,12,2,0.0933,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.0,24,0.2,10,1106,-144.768,0.8254879581772865,0.3526,12,2,0.094,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.0,24,0.2,20,1011,-130.7852,0.8280240940788359,0.3531,12,3,0.092,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.3,12,0.1,10,1213,-74.483,0.8980724034484298,0.404,12,3,0.0932,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.3,12,0.1,20,1102,-77.8937,0.8846643780293783,0.4029,12,3,0.0944,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.3,12,0.2,10,1104,-74.3424,0.8898220269691676,0.3958,12,4,0.0933,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.3,12,0.2,20,1008,-78.2554,0.8751453678298698,0.3958,12,4,0.0933,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.3,24,0.1,10,1190,-91.1329,0.8877398248437302,0.3739,12,4,0.0916,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.3,24,0.1,20,1075,-83.1143,0.8875557997966342,0.373,12,2,0.094,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.3,24,0.2,10,1084,-91.9196,0.8765359534187145,0.3727,12,3,0.0923,12,True,0,,True,ready_for_gate
crypto,choch,short,2.0,1.3,24,0.2,20,980,-91.4854,0.8657224937800512,0.3684,12,3,0.0929,12,True,0,,True,ready_for_gate
