side,price,born_ts,max_size,dist_bps,fate,life_ms,eaten_frac,fwd_bps,fwd_10s,fwd_30s,fwd_60s,fwd_300s,fwd_900s
1,1883.19,1786492803343,129.24,9.221586484928565,ушла,3357,0.53,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
-1,1881.05,1786492803343,58.82,2.152589352389362,съедена,3357,0.998,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
-1,1880.93,1786492803343,116.79,2.790393604948636,съедена,3357,0.979,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
1,1883.2,1786492805601,73.2,10.817764523580239,ушла,1099,0.0,-3.667939813891685,-3.0300372375635654,-3.2426714296729386,-3.667939813891685,-3.7210983619184734,0.053158548027898433
-1,1880.94,1786492805601,58.56,1.1960673306164482,съедена,1099,1.0,3.667939813891685,3.0300372375635654,3.2426714296729386,3.667939813891685,3.7210983619184734,-0.053158548027898433
-1,1880.04,1786492805698,73.82,5.980336653084658,ушла,1100,0.0,3.667939813891685,3.0300372375635654,3.2426714296729386,3.667939813891685,3.7210983619184734,-0.053158548027898433
1,1882.41,1786492803901,54.05,6.352277650347974,ушла,2997,0.659,-3.9336280010537905,-2.39207108172268,-3.508370919859116,-3.9336280010537905,-3.986785136201876,-0.21262854059678205
-1,1879.21,1786492805601,57.69,10.392496139360063,ушла,1399,0.0,3.667939813891685,3.0300372375635654,3.2426714296729386,3.667939813891685,3.7210983619184734,-0.053158548027898433
1,1883.07,1786492803343,76.11,8.583782232368083,ушла,4256,0.0,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
1,1883.07,1786492807700,76.11,11.510416528212408,ушла,299,0.0,-2.286133536782975,-1.7013086785355735,-0.6379907544529217,-2.286133536782975,-2.339299432986275,1.4354791975135228
1,1883.06,1786492803343,43.76,8.530631877988142,ушла,5058,0.282,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
-1,1880.86,1786492803343,65.83,3.1624460856094214,съедена,5058,1.539,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
-1,1880.87,1786492803346,57.15,2.790482594033103,съедена,5055,1.212,4.889988545733193,4.145859853992295,4.464772150453156,4.889988545733193,4.943140595142781,0.6909766423324193
-1,1880.88,1786492806199,64.14,1.3024121204060912,съедена,2202,1.0,3.4553790949565233,2.817462954349814,3.030101667885754,3.4553790949565233,3.5085387733391205,-0.2657983919207574
-1,1878.93,1786492806798,106.33,10.50026450033434,ушла,1603,0.0,2.286133536782975,1.6481427823333838,1.8608063671499142,2.286133536782975,2.339299432986275,-1.4354791975135228
