mid,spread_bps,imb1,imb5,imb20,depth_bid,depth_ask,slope,ts
63764.55,0.015682695165032106,0.37466614712251656,0.2621859639019078,0.008223570972369297,580889.6820000001,571413.6339,0.5289078935123802,1786505663888
63764.55,0.015682695165032106,0.2631700018806673,0.19139645301819072,0.10682322985420444,530450.7853999999,428059.60919999995,0.5908721138453057,1786505664986
63764.55,0.015682695165032106,0.23380408459432772,0.1706760715011697,0.09540124327790751,531088.3733999999,438580.7349,0.59564607478586,1786505665986
63764.55,0.015682695165032106,0.24048470954690895,0.17739638288089732,0.12752951250409916,566795.9315000002,438580.7353,0.5791840917229449,1786505667087
63764.55,0.015682695165032106,-0.5252555459421269,-0.5346858097560551,-0.32775810776699044,324618.9307,641161.1982999999,0.5862926839117022,1786505668189
63764.55,0.015682695165032106,-0.43493059513564414,-0.4532776522828633,-0.34810538884734515,312632.2365,646517.3903,0.6381450130383349,1786505669286
63764.55,0.015682695165032106,-0.43047467946023166,-0.44909558991211734,-0.3454848428152938,314035.0555,645560.9204,0.6383133272578786,1786505670287
63762.25,0.015683260864511644,-0.9946992193366904,-0.9952029387851814,-0.9903433437245309,8033.8101000000015,1655856.8516000002,0.798844583418699,1786505671287
63761.649999999994,0.015683408443562048,-0.71408811211321,-0.764906423474213,-0.8170490021051039,140083.9058,1391297.802,0.7353469526665324,1786505672287
63761.649999999994,0.015683408443562048,-0.7171263921387661,-0.7669517454664669,-0.8182221400957604,140083.9058,1401180.8650999998,0.7370439895519447,1786505673288
63761.649999999994,0.015683408443562048,-0.5935725691277186,-0.661169245648188,-0.6720191717693809,267348.8058,1362922.1294999998,0.7445198638572578,1786505674388
63761.649999999994,0.015683408443562048,-0.3186967269059929,-0.4061869002689582,-0.433637349355643,464370.36860000005,1175463.6426,0.7354728099689994,1786505675487
63761.649999999994,0.015683408443562048,-0.31853634070270526,-0.40603823147428525,-0.4303006250700021,468195.9098000001,1175463.6426,0.7338386161165718,1786505676586
63761.649999999994,0.015683408443562048,-0.31624002198679274,-0.3849501021449966,-0.4480807920961196,396467.8522,1040220.1503999998,0.7985039025340852,1786505677587
