entry_ts,exit_ts,r,side,mode,side_sleeve,cost
1769785200.0,1769792400.0,-1.1504,short,standard_00_50,short,base
1769986800.0,1770044400.0,-1.1409,short,standard_00_50,short,base
1770116400.0,1770166800.0,-1.2631,short,standard_00_50,short,base
1770192000.0,1770195600.0,-1.3385,short,standard_00_50,short,base
1770249600.0,1770267600.0,-1.2474,short,standard_00_50,short,base
1770814800.0,1770829200.0,2.3841,short,standard_00_50,short,base
1771894800.0,1771905600.0,-1.221,short,standard_00_50,short,base
1772438400.0,1772452800.0,-1.1632,short,standard_00_50,short,base
1773727200.0,1773752400.0,2.2282,short,standard_00_50,short,base
1774231200.0,1774263600.0,2.2893,short,standard_00_50,short,base
1774821600.0,1774828800.0,2.2678,short,standard_00_50,short,base
1774918800.0,1774962000.0,2.2061,short,standard_00_50,short,base
1775574000.0,1775592000.0,2.1677,short,standard_00_50,short,base
1776250800.0,1776304800.0,2.184,short,standard_00_50,short,base
1776391200.0,1776402000.0,-1.3201,short,standard_00_50,short,base
1776790800.0,1776798000.0,-1.258,short,standard_00_50,short,base
1776888000.0,1776902400.0,-1.3411,short,standard_00_50,short,base
1777341600.0,1777345200.0,2.0213,short,standard_00_50,short,base
1777363200.0,1777370400.0,-1.2804,short,standard_00_50,short,base
1777489200.0,1777521600.0,-1.334,short,standard_00_50,short,base
1778457600.0,1778461200.0,-1.3047,short,standard_00_50,short,base
1778724000.0,1778731200.0,1.9585,short,standard_00_50,short,base
1778763600.0,1778767200.0,-1.2945,short,standard_00_50,short,base
1778799600.0,1778806800.0,-1.2929,short,standard_00_50,short,base
1778810400.0,1778850000.0,-1.2634,short,standard_00_50,short,base
1779076800.0,1779105600.0,2.112,short,standard_00_50,short,base
1779170400.0,1779192000.0,2.0713,short,standard_00_50,short,base
1779768000.0,1779775200.0,-2.0088,short,standard_00_50,short,base
1779894000.0,1779901200.0,-1.5369,short,standard_00_50,short,base
1779926400.0,1779937200.0,-1.5981,short,standard_00_50,short,base
1780423200.0,1780441200.0,-1.8322,short,standard_00_50,short,base
1780502400.0,1780545600.0,2.1535,short,standard_00_50,short,base
1780603200.0,1780657200.0,1.801,short,standard_00_50,short,base
1781082000.0,1781089200.0,-1.8178,short,standard_00_50,short,base
1781110800.0,1781157600.0,-1.6366,short,standard_00_50,short,base
1781179200.0,1781197200.0,1.557,short,standard_00_50,short,base
1781618400.0,1781683200.0,2.0359,short,standard_00_50,short,base
1782082800.0,1782086400.0,-1.472,short,standard_00_50,short,base
1782093600.0,1782100800.0,-1.4547,short,standard_00_50,short,base
1782136800.0,1782140400.0,-1.3267,short,standard_00_50,short,base
1782820800.0,1782831600.0,-1.2712,short,standard_00_50,short,base
1783288800.0,1783296000.0,-1.5097,short,standard_00_50,short,base
1723636800.0,1723723200.0,-1.1809,short,standard_00_50,short,stress
1724936400.0,1725019200.0,-1.2467,short,standard_00_50,short,stress
1725231600.0,1725264000.0,-1.2832,short,standard_00_50,short,stress
1725282000.0,1725339600.0,2.2128,short,standard_00_50,short,stress
1725624000.0,1725627600.0,-1.1743,short,standard_00_50,short,stress
1726124400.0,1726142400.0,2.2369,short,standard_00_50,short,stress
1727161200.0,1727179200.0,2.2271,short,standard_00_50,short,stress
1727276400.0,1727283600.0,-1.2634,short,standard_00_50,short,stress
1727319600.0,1727334000.0,-1.3316,short,standard_00_50,short,stress
1727398800.0,1727409600.0,-1.2221,short,standard_00_50,short,stress
1727697600.0,1727708400.0,-1.2072,short,standard_00_50,short,stress
1727762400.0,1727787600.0,2.2676,short,standard_00_50,short,stress
1727899200.0,1727906400.0,-1.2023,short,standard_00_50,short,stress
1727917200.0,1728043200.0,-1.1936,short,standard_00_50,short,stress
1728252000.0,1728306000.0,2.3073,short,standard_00_50,short,stress
1728644400.0,1728648000.0,-1.3973,short,standard_00_50,short,stress
1728932400.0,1728972000.0,1.9912,short,standard_00_50,short,stress
1729569600.0,1729580400.0,-1.4087,short,standard_00_50,short,stress
1729684800.0,1729735200.0,2.2125,short,standard_00_50,short,stress
1730196000.0,1730199600.0,-1.3744,short,standard_00_50,short,stress
1730340000.0,1730354400.0,2.1926,short,standard_00_50,short,stress
1730473200.0,1730678400.0,2.2733,short,standard_00_50,short,stress
1730782800.0,1730811600.0,2.0294,short,standard_00_50,short,stress
1731376800.0,1731420000.0,-1.4161,short,standard_00_50,short,stress
1731556800.0,1731592800.0,2.1323,short,standard_00_50,short,stress
1732064400.0,1732075200.0,-1.2389,short,standard_00_50,short,stress
1732284000.0,1732489200.0,2.264,short,standard_00_50,short,stress
1732784400.0,1732834800.0,2.1962,short,standard_00_50,short,stress
1733792400.0,1733814000.0,-1.3559,short,standard_00_50,short,stress
1734058800.0,1734076800.0,-1.322,short,standard_00_50,short,stress
1734314400.0,1734350400.0,-1.3762,short,standard_00_50,short,stress
1734537600.0,1734548400.0,-1.4022,short,standard_00_50,short,stress
1734598800.0,1734620400.0,-1.1676,short,standard_00_50,short,stress
1735228800.0,1735254000.0,1.8439,short,standard_00_50,short,stress
1735538400.0,1735560000.0,1.9795,short,standard_00_50,short,stress
1735664400.0,1735772400.0,-1.2566,short,standard_00_50,short,stress
1736161200.0,1736164800.0,2.1477,short,standard_00_50,short,stress
1736334000.0,1736395200.0,2.0803,short,standard_00_50,short,stress
1736492400.0,1736496000.0,1.8959,short,standard_00_50,short,stress
1736856000.0,1736874000.0,-1.2461,short,standard_00_50,short,stress
1737532800.0,1737547200.0,-1.3231,short,standard_00_50,short,stress
1737723600.0,1737964800.0,2.3317,short,standard_00_50,short,stress
1738036800.0,1738126800.0,2.241,short,standard_00_50,short,stress
1738328400.0,1738346400.0,-1.3,short,standard_00_50,short,stress
1738656000.0,1738681200.0,2.2246,short,standard_00_50,short,stress
1739174400.0,1739196000.0,2.2218,short,standard_00_50,short,stress
1739278800.0,1739286000.0,-1.4045,short,standard_00_50,short,stress
1739325600.0,1739332800.0,-1.3111,short,standard_00_50,short,stress
1739372400.0,1739376000.0,-1.2595,short,standard_00_50,short,stress
1740664800.0,1740668400.0,-1.256,short,standard_00_50,short,stress
1740729600.0,1740747600.0,-1.2168,short,standard_00_50,short,stress
1740956400.0,1740988800.0,2.2511,short,standard_00_50,short,stress
1741683600.0,1741690800.0,-1.2279,short,standard_00_50,short,stress
1741698000.0,1741752000.0,-1.1953,short,standard_00_50,short,stress
1741928400.0,1741932000.0,-1.3477,short,standard_00_50,short,stress
1742187600.0,1742212800.0,2.1752,short,standard_00_50,short,stress
1742259600.0,1742263200.0,-1.2963,short,standard_00_50,short,stress
1742364000.0,1742389200.0,-1.3295,short,standard_00_50,short,stress
1743069600.0,1743091200.0,-1.36,short,standard_00_50,short,stress
1743573600.0,1743588000.0,2.0725,short,standard_00_50,short,stress
1743606000.0,1743609600.0,-1.3164,short,standard_00_50,short,stress
1744041600.0,1744142400.0,2.3822,short,standard_00_50,short,stress
1744876800.0,1745182800.0,2.2926,short,standard_00_50,short,stress
1745280000.0,1745290800.0,2.2271,short,standard_00_50,short,stress
1745593200.0,1745848800.0,2.2937,short,standard_00_50,short,stress
1746111600.0,1746144000.0,-1.1729,short,standard_00_50,short,stress
1746633600.0,1746640800.0,-1.2966,short,standard_00_50,short,stress
1746680400.0,1746684000.0,-1.2369,short,standard_00_50,short,stress
1746687600.0,1746691200.0,-1.2205,short,standard_00_50,short,stress
1746698400.0,1746712800.0,-1.2463,short,standard_00_50,short,stress
1746730800.0,1746788400.0,2.3106,short,standard_00_50,short,stress
1747036800.0,1747044000.0,-1.1619,short,standard_00_50,short,stress
1747411200.0,1747602000.0,2.2224,short,standard_00_50,short,stress
1748394000.0,1748397600.0,-1.3492,short,standard_00_50,short,stress
1748966400.0,1748998800.0,-1.2687,short,standard_00_50,short,stress
1749218400.0,1749448800.0,2.2223,short,standard_00_50,short,stress
1749520800.0,1749535200.0,2.1375,short,standard_00_50,short,stress
1749596400.0,1749603600.0,-1.4107,short,standard_00_50,short,stress
1749819600.0,1750024800.0,-1.1972,short,standard_00_50,short,stress
1750676400.0,1750687200.0,2.2677,short,standard_00_50,short,stress
1750856400.0,1750874400.0,2.1608,short,standard_00_50,short,stress
1751864400.0,1751868000.0,-1.4527,short,standard_00_50,short,stress
1751882400.0,1751889600.0,-1.36,short,standard_00_50,short,stress
1752022800.0,1752026400.0,-1.4228,short,standard_00_50,short,stress
1752192000.0,1752195600.0,-1.4034,short,standard_00_50,short,stress
1752447600.0,1752505200.0,-1.3235,short,standard_00_50,short,stress
1752580800.0,1752584400.0,-1.4053,short,standard_00_50,short,stress
1752638400.0,1752674400.0,2.0996,short,standard_00_50,short,stress
1753408800.0,1753419600.0,2.1628,short,standard_00_50,short,stress
1753668000.0,1753682400.0,-1.4289,short,standard_00_50,short,stress
1753718400.0,1753772400.0,-1.3052,short,standard_00_50,short,stress
1753945200.0,1753952400.0,-1.2275,short,standard_00_50,short,stress
1753956000.0,1753963200.0,-1.2449,short,standard_00_50,short,stress
1753970400.0,1753992000.0,-1.2085,short,standard_00_50,short,stress
1754924400.0,1754935200.0,-1.4669,short,standard_00_50,short,stress
1754985600.0,1755000000.0,2.0377,short,standard_00_50,short,stress
1755180000.0,1755183600.0,-1.2605,short,standard_00_50,short,stress
1755478800.0,1755514800.0,-1.36,short,standard_00_50,short,stress
1755565200.0,1755669600.0,2.1123,short,standard_00_50,short,stress
1756126800.0,1756130400.0,-1.4273,short,standard_00_50,short,stress
1756281600.0,1756288800.0,-1.4857,short,standard_00_50,short,stress
1756882800.0,1756908000.0,2.1321,short,standard_00_50,short,stress
1757289600.0,1757354400.0,2.2899,short,standard_00_50,short,stress
1757466000.0,1757484000.0,-1.4057,short,standard_00_50,short,stress
1757505600.0,1757570400.0,-1.4109,short,standard_00_50,short,stress
1757592000.0,1757599200.0,2.0643,short,standard_00_50,short,stress
1757678400.0,1757908800.0,2.1027,short,standard_00_50,short,stress
1758157200.0,1758171600.0,-1.2704,short,standard_00_50,short,stress
1758686400.0,1758693600.0,-1.5311,short,standard_00_50,short,stress
1758841200.0,1759100400.0,2.1098,short,standard_00_50,short,stress
1759453200.0,1759460400.0,-1.4003,short,standard_00_50,short,stress
1759838400.0,1759845600.0,-1.4028,short,standard_00_50,short,stress
1759867200.0,1759881600.0,-1.3318,short,standard_00_50,short,stress
1759989600.0,1759993200.0,-1.3526,short,standard_00_50,short,stress
1760709600.0,1760911200.0,-1.2495,short,standard_00_50,short,stress
1760922000.0,1760950800.0,2.165,short,standard_00_50,short,stress
1761026400.0,1761033600.0,-1.3175,short,standard_00_50,short,stress
1761048000.0,1761181200.0,-1.2375,short,standard_00_50,short,stress
1761192000.0,1761199200.0,-1.4287,short,standard_00_50,short,stress
1761285600.0,1761307200.0,1.9342,short,standard_00_50,short,stress
1761793200.0,1761804000.0,-1.2343,short,standard_00_50,short,stress
1762351200.0,1762354800.0,-1.3445,short,standard_00_50,short,stress
1762736400.0,1762758000.0,-1.2994,short,standard_00_50,short,stress
1762956000.0,1763024400.0,2.0542,short,standard_00_50,short,stress
1763604000.0,1763614800.0,-1.3368,short,standard_00_50,short,stress
1763989200.0,1763992800.0,-1.5072,short,standard_00_50,short,stress
1764154800.0,1764165600.0,-1.3226,short,standard_00_50,short,stress
1764666000.0,1764687600.0,-1.5664,short,standard_00_50,short,stress
1765184400.0,1765195200.0,-1.4802,short,standard_00_50,short,stress
1765256400.0,1765263600.0,-1.5082,short,standard_00_50,short,stress
1765285200.0,1765292400.0,-1.3818,short,standard_00_50,short,stress
1765306800.0,1765382400.0,2.106,short,standard_00_50,short,stress
1765537200.0,1765540800.0,-1.5329,short,standard_00_50,short,stress
1765958400.0,1766001600.0,-1.368,short,standard_00_50,short,stress
1766052000.0,1766062800.0,1.9588,short,standard_00_50,short,stress
1766113200.0,1766116800.0,-1.3988,short,standard_00_50,short,stress
1766163600.0,1766178000.0,-1.2624,short,standard_00_50,short,stress
1766700000.0,1766703600.0,-1.5272,short,standard_00_50,short,stress
1766761200.0,1766764800.0,-1.4502,short,standard_00_50,short,stress
1767193200.0,1767204000.0,-1.6886,short,standard_00_50,short,stress
1767567600.0,1767571200.0,-1.5252,short,standard_00_50,short,stress
1767970800.0,1767974400.0,-1.3685,short,standard_00_50,short,stress
1768284000.0,1768287600.0,-1.4237,short,standard_00_50,short,stress
1768291200.0,1768320000.0,-1.3945,short,standard_00_50,short,stress
1768892400.0,1768896000.0,2.0443,short,standard_00_50,short,stress
1769151600.0,1769184000.0,2.2235,short,standard_00_50,short,stress
1769626800.0,1769738400.0,-1.2021,short,standard_00_50,short,stress
1769749200.0,1769763600.0,-1.2995,short,standard_00_50,short,stress
1769785200.0,1769792400.0,-1.2507,short,standard_00_50,short,stress
1769986800.0,1770044400.0,-1.2348,short,standard_00_50,short,stress
1770116400.0,1770166800.0,-1.4384,short,standard_00_50,short,stress
1770192000.0,1770195600.0,-1.5641,short,standard_00_50,short,stress
1770249600.0,1770267600.0,-1.4123,short,standard_00_50,short,stress
1770814800.0,1770829200.0,2.3068,short,standard_00_50,short,stress
1771894800.0,1771905600.0,-1.3683,short,standard_00_50,short,stress
1772438400.0,1772452800.0,-1.272,short,standard_00_50,short,stress
1773727200.0,1773752400.0,2.0469,short,standard_00_50,short,stress
1774231200.0,1774263600.0,2.1488,short,standard_00_50,short,stress
1774821600.0,1774828800.0,2.1131,short,standard_00_50,short,stress
1774918800.0,1774962000.0,2.0102,short,standard_00_50,short,stress
1775574000.0,1775592000.0,1.9462,short,standard_00_50,short,stress
1776250800.0,1776304800.0,1.9733,short,standard_00_50,short,stress
1776391200.0,1776402000.0,-1.5335,short,standard_00_50,short,stress
1776790800.0,1776798000.0,-1.43,short,standard_00_50,short,stress
1776888000.0,1776902400.0,-1.5685,short,standard_00_50,short,stress
1777341600.0,1777345200.0,1.7021,short,standard_00_50,short,stress
1777363200.0,1777370400.0,-1.4674,short,standard_00_50,short,stress
1777489200.0,1777521600.0,-1.5567,short,standard_00_50,short,stress
1778457600.0,1778461200.0,-1.5078,short,standard_00_50,short,stress
1778724000.0,1778731200.0,1.5976,short,standard_00_50,short,stress
1778763600.0,1778767200.0,-1.4908,short,standard_00_50,short,stress
1778799600.0,1778806800.0,-1.4882,short,standard_00_50,short,stress
1778810400.0,1778850000.0,-1.439,short,standard_00_50,short,stress
1779076800.0,1779105600.0,1.8533,short,standard_00_50,short,stress
1779170400.0,1779192000.0,1.7855,short,standard_00_50,short,stress
1779768000.0,1779775200.0,-2.6813,short,standard_00_50,short,stress
1779894000.0,1779901200.0,-1.8948,short,standard_00_50,short,stress
1779926400.0,1779937200.0,-1.9968,short,standard_00_50,short,stress
1780423200.0,1780441200.0,-2.387,short,standard_00_50,short,stress
1780502400.0,1780545600.0,1.9224,short,standard_00_50,short,stress
1780603200.0,1780657200.0,1.335,short,standard_00_50,short,stress
1781082000.0,1781089200.0,-2.363,short,standard_00_50,short,stress
1781110800.0,1781157600.0,-2.0609,short,standard_00_50,short,stress
1781179200.0,1781197200.0,0.9283,short,standard_00_50,short,stress
1781618400.0,1781683200.0,1.7264,short,standard_00_50,short,stress
1782082800.0,1782086400.0,-1.7867,short,standard_00_50,short,stress
1782093600.0,1782100800.0,-1.7579,short,standard_00_50,short,stress
1782136800.0,1782140400.0,-1.5445,short,standard_00_50,short,stress
1782820800.0,1782831600.0,-1.4519,short,standard_00_50,short,stress
1783288800.0,1783296000.0,-1.8496,short,standard_00_50,short,stress
1721253600.0,1721257200.0,-1.1453,long,standard_00_50,long,base
1721764800.0,1721782800.0,-1.1877,long,standard_00_50,long,base
1721797200.0,1721811600.0,-1.1793,long,standard_00_50,long,base
1721894400.0,1721901600.0,-1.0951,long,standard_00_50,long,base
1722427200.0,1722470400.0,-1.0493,long,standard_00_50,long,base
1722549600.0,1722553200.0,-1.1067,long,standard_00_50,long,base
1722610800.0,1722808800.0,-1.0711,long,standard_00_50,long,base
1723071600.0,1723075200.0,-1.0957,long,standard_00_50,long,base
1723212000.0,1723460400.0,2.3811,long,standard_00_50,long,base
1723554000.0,1723564800.0,-1.1451,long,standard_00_50,long,base
1724047200.0,1724119200.0,2.3956,long,standard_00_50,long,base
