strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason,seasonality_kept
alt_trendline_touch_v1,ETHUSDT,short,1755691200000,1755699900000,4193.92104800,4135.84949950,0.00715178,0.37957132,0.003483,0.03574361,sl,att1_short_trendline tl=4236.5443 slope=-2.178%/d rsi=57.2+TRAIL_SL,1
alt_trendline_touch_v1,LTCUSDT,short,1755820800000,1755866400000,114.68705800,112.97526397,0.26152907,0.41195972,0.003776,0.03572419,sl,att1_short_trendline tl=115.7059 slope=-1.238%/d rsi=45.6+TRAIL_SL,1
alt_trendline_touch_v1,SUIUSDT,short,1756015200000,1756022700000,3.71695646,3.67302046,8.06950534,0.31876174,0.002911,0.03578007,sl,att1_short_trendline tl=3.7328 slope=-1.757%/d rsi=52.8+TP1+TRAIL_SL,1
alt_trendline_touch_v1,SOLUSDT,long,1756047600000,1756062000000,206.12121600,211.32673109,0.14557453,0.72132856,0.006568,0.03646187,sl,att1_long_trendline tl=204.0385 slope=1.367%/d rsi=49.6+TP1+TRAIL_SL,1
alt_trendline_touch_v1,SUIUSDT,short,1756065600000,1756083000000,3.70225940,3.60254227,8.10153929,0.77235416,0.006987,0.03550808,sl,att1_short_trendline tl=3.7311 slope=-0.688%/d rsi=48.3+TP1+TRAIL_SL,1
alt_trendline_touch_v1,ADAUSDT,long,1756296000000,1756305600000,0.86397276,0.87417439,34.73026163,0.31808547,0.002858,0.03621978,sl,att1_long_trendline tl=0.8623 slope=3.483%/d rsi=44.3+TP1+TRAIL_SL,1
alt_trendline_touch_v1,SUIUSDT,long,1756296000000,1756305900000,3.44668920,3.50269464,8.70574579,0.45126934,0.004055,0.03629974,sl,att1_long_trendline tl=3.4293 slope=2.231%/d rsi=44.9+TP1+TRAIL_SL,1
alt_trendline_touch_v1,DOTUSDT,long,1756296000000,1756325100000,3.88277640,3.82938910,7.72797527,-0.44833542,-0.004028,0.03575965,sl,att1_long_trendline tl=3.8640 slope=2.690%/d rsi=44.4+SL,1
alt_trendline_touch_v1,LINKUSDT,short,1756321200000,1756333200000,24.29014100,23.78234328,1.19029480,0.57009673,0.005087,0.03433226,sl,att1_short_trendline tl=24.6518 slope=-0.192%/d rsi=45.6+TRAIL_SL,1
alt_trendline_touch_v1,LTCUSDT,short,1756332000000,1756450200000,112.92741000,111.32511956,0.26560425,0.38983769,0.003493,0.03573745,sl,att1_short_trendline tl=113.6664 slope=-3.335%/d rsi=50.2+TRAIL_SL,1
alt_trendline_touch_v1,SUIUSDT,long,1756422000000,1756430100000,3.49389864,3.44167690,8.58811405,-0.48422435,-0.004316,0.03573811,sl,att1_long_trendline tl=3.4837 slope=1.425%/d rsi=48.0+SL,1
alt_trendline_touch_v1,ETHUSDT,short,1756512000000,1756519500000,4358.03821800,4277.17490077,0.00688245,0.52087923,0.004646,0.03565888,sl,att1_short_trendline tl=4393.5385 slope=-2.958%/d rsi=53.2+TRAIL_SL,1
alt_trendline_touch_v1,LTCUSDT,long,1756522800000,1756701900000,109.57191000,107.22581245,0.27384756,-0.67809480,-0.006020,0.03562172,sl,att1_long_trendline tl=108.4093 slope=-0.482%/d rsi=40.0+SL,1
alt_trendline_touch_v1,DOTUSDT,short,1756530000000,1756687500000,3.79364112,3.72214904,7.90638836,0.52959046,0.004703,0.03565365,sl,att1_short_trendline tl=3.8340 slope=-3.346%/d rsi=54.6+TRAIL_SL,1
