pair,entry_day,exit_day,held_days,side,entry_z,exit_z,beta,ar1_phi,gross_bps,cost_bps,pnl_bps,reason
DOGEUSDT/SUIUSDT,20362,20382,20,short_spread,1.502351,1.601725,0.744196,0.955398,-57.565514,32.0,-89.56551417988587,max_hold
AVAXUSDT/ONDOUSDT,20364,20384,20,short_spread,2.692161,1.10004,1.226866,0.979463,746.385211,32.0,714.3852108006478,max_hold
SUIUSDT/TAOUSDT,20365,20385,20,short_spread,1.847211,-3.402174,0.87463,0.959958,2804.285335,32.0,2772.285334814991,max_hold
AVAXUSDT/TAOUSDT,20366,20372,6,short_spread,1.85975,-0.117672,0.216918,0.97965,2668.137776,32.0,2636.137775783001,z_exit
BTCUSDT/ONDOUSDT,20366,20386,20,short_spread,1.56528,1.462665,0.413741,0.976749,63.278134,32.0,31.278133653874576,max_hold
BTCUSDT/SUIUSDT,20366,20386,20,short_spread,1.664369,2.390987,0.433907,0.975719,-328.316874,32.0,-360.31687361222885,max_hold
SOLUSDT/XRPUSDT,20366,20386,20,short_spread,1.610188,1.113701,0.842012,0.967737,277.949344,32.0,245.94934373198907,max_hold
AVAXUSDT/BNBUSDT,20368,20388,20,long_spread,-2.766003,-5.11561,0.786738,0.92993,-1180.664539,32.0,-1212.6645394456311,max_hold
BTCUSDT/XRPUSDT,20369,20389,20,short_spread,1.509874,0.726184,0.447429,0.958549,297.261036,32.0,265.2610360002395,max_hold
SOLUSDT/TAOUSDT,20369,20378,9,short_spread,1.732965,0.225852,0.161872,0.978596,2151.990351,32.0,2119.9903507145173,z_exit
1000PEPEUSDT/ADAUSDT,20371,20391,20,long_spread,-2.617234,-2.680633,0.434969,0.955745,-67.784472,32.0,-99.78447209708428,max_hold
1000PEPEUSDT/ETHUSDT,20371,20391,20,long_spread,-3.236362,-3.442479,0.163412,0.948517,-277.53179,32.0,-309.53178964874087,max_hold
1000PEPEUSDT/LINKUSDT,20371,20391,20,long_spread,-2.890445,-3.067058,0.130152,0.946048,-254.704302,32.0,-286.704301689227,max_hold
1000PEPEUSDT/ONDOUSDT,20371,20391,20,long_spread,-1.808821,-1.991417,0.755904,0.963865,-152.200356,32.0,-184.20035642192047,max_hold
1000PEPEUSDT/SUIUSDT,20371,20391,20,long_spread,-2.341807,-1.750068,0.794286,0.960997,377.770706,32.0,345.7707055930203,max_hold
1000PEPEUSDT/TAOUSDT,20371,20391,20,long_spread,-3.077379,-7.931809,1.061228,0.90919,-1946.142699,32.0,-1978.1426991596243,max_hold
1000PEPEUSDT/WIFUSDT,20371,20391,20,long_spread,-1.556239,-2.63342,0.633227,0.896197,-429.97684,32.0,-461.9768403722635,max_hold
1000PEPEUSDT/XRPUSDT,20371,20391,20,long_spread,-2.827466,-3.10898,0.375261,0.94858,-316.465004,32.0,-348.4650044136249,max_hold
ADAUSDT/BTCUSDT,20371,20391,20,long_spread,-1.677543,-1.801393,0.974517,0.973407,-73.306655,32.0,-105.30665451324849,max_hold
ADAUSDT/DOGEUSDT,20371,20391,20,long_spread,-1.816005,-1.912226,0.807907,0.944978,-30.700986,32.0,-62.70098593889351,max_hold
ADAUSDT/ETHUSDT,20371,20391,20,long_spread,-2.512729,-3.074333,0.333563,0.956581,-390.668315,32.0,-422.668314923782,max_hold
ADAUSDT/LINKUSDT,20371,20391,20,long_spread,-2.720247,-3.313618,0.561604,0.940327,-223.905495,32.0,-255.9054950459664,max_hold
ADAUSDT/SOLUSDT,20371,20391,20,long_spread,-2.991641,-3.541416,0.754425,0.961348,-226.476517,32.0,-258.4765166650942,max_hold
AVAXUSDT/SOLUSDT,20371,20391,20,long_spread,-2.629295,-4.39935,0.929036,0.914419,-610.271053,32.0,-642.2710525974439,max_hold
DOGEUSDT/ETHUSDT,20371,20391,20,long_spread,-1.55423,-2.135121,0.392881,0.93902,-414.419348,32.0,-446.41934787823214,max_hold
DOGEUSDT/SOLUSDT,20371,20391,20,long_spread,-2.069709,-2.72209,0.906165,0.91354,-224.692558,32.0,-256.6925578711219,max_hold
ETHUSDT/XRPUSDT,20371,20391,20,short_spread,2.396582,2.04957,1.824935,0.962295,197.336179,32.0,165.3361790679721,max_hold
ONDOUSDT/SUIUSDT,20371,20391,20,long_spread,-2.105605,-1.215622,0.526999,0.921448,382.782335,32.0,350.7823351887968,max_hold
ONDOUSDT/TAOUSDT,20371,20391,20,long_spread,-2.203749,-3.56548,0.338372,0.949566,-940.401714,32.0,-972.4017144342266,max_hold
ONDOUSDT/WIFUSDT,20371,20391,20,long_spread,-1.829462,-2.025264,0.170792,0.943572,-158.242071,32.0,-190.24207146658762,max_hold
ONDOUSDT/XRPUSDT,20371,20391,20,long_spread,-3.25334,-3.556191,0.46885,0.916455,-146.105867,32.0,-178.10586670139224,max_hold
SUIUSDT/XRPUSDT,20371,20391,20,long_spread,-1.738669,-2.989066,0.61081,0.93187,-893.630738,32.0,-925.6307376478569,max_hold
WIFUSDT/XRPUSDT,20371,20391,20,long_spread,-2.46629,-2.284759,0.743103,0.953693,218.118533,32.0,186.11853319869388,max_hold
ADAUSDT/AVAXUSDT,20372,20384,12,long_spread,-1.539233,-0.113876,0.746107,0.961801,592.529899,32.0,560.5298986227667,z_exit
BNBUSDT/SOLUSDT,20372,20392,20,short_spread,4.837611,3.639964,1.054515,0.97358,479.700245,32.0,447.7002446807497,max_hold
1000PEPEUSDT/AVAXUSDT,20373,20393,20,long_spread,-2.111338,-2.545047,0.22209,0.958417,-582.613732,32.0,-614.6137324900387,max_hold
TAOUSDT/WIFUSDT,20373,20393,20,short_spread,2.499512,5.521623,0.392427,0.923817,-1957.210079,32.0,-1989.210078790722,max_hold
ADAUSDT/BNBUSDT,20374,20394,20,long_spread,-2.508147,-3.350395,0.472664,0.973647,-629.100765,32.0,-661.1007654244199,max_hold
TAOUSDT/XRPUSDT,20374,20394,20,short_spread,1.720793,2.441916,0.088301,0.891954,-827.879561,32.0,-859.8795607890225,max_hold
BTCUSDT/WIFUSDT,20376,20396,20,short_spread,1.713034,1.31195,0.211577,0.976348,200.51647,32.0,168.51646955616204,max_hold
ETHUSDT/LINKUSDT,20377,20397,20,short_spread,1.507618,1.831817,1.220053,0.969681,-211.288126,32.0,-243.28812595343328,max_hold
BTCUSDT/ETHUSDT,20378,20398,20,long_spread,-1.856772,-2.40277,0.197825,0.915646,-168.474977,32.0,-200.47497744419846,max_hold
1000PEPEUSDT/SOLUSDT,20379,20399,20,long_spread,-2.725343,-3.16674,0.067677,0.953965,-697.446527,32.0,-729.4465267174542,max_hold
