ts,o,h,l,c,v
1614134700,1811.9575000000,1811.9575000000,1811.1515000000,1811.3300000000,0.49
1614135000,1811.3400000000,1811.3420000000,1810.7515000000,1811.1070000000,0.58
1614135300,1811.0970000000,1811.0970000000,1809.9070000000,1810.2375000000,0.50
1614135600,1810.2275000000,1811.1825000000,1810.0325000000,1810.5820000000,0.43
1614135900,1810.5920000000,1810.9015000000,1809.7875000000,1810.1025000000,0.30
1614136200,1810.0920000000,1810.5250000000,1809.7120000000,1810.2270000000,0.40
1614136500,1810.2370000000,1810.3170000000,1808.6200000000,1808.6615000000,0.52
1614136800,1808.6565000000,1809.7935000000,1808.6565000000,1809.1150000000,0.43
1614137100,1809.1175000000,1809.5370000000,1808.4150000000,1809.5115000000,0.41
1614137400,1809.5125000000,1809.6175000000,1808.9815000000,1809.3825000000,0.49
1614137700,1809.3875000000,1810.2250000000,1809.3725000000,1810.1550000000,0.25
1614138000,1810.1450000000,1810.2785000000,1809.5615000000,1809.9100000000,0.26
1614138300,1809.9050000000,1810.0975000000,1809.5500000000,1809.5900000000,0.38
1614138600,1809.6100000000,1809.6100000000,1808.8365000000,1809.0950000000,0.27
1614138900,1809.1100000000,1809.3250000000,1808.7750000000,1808.9550000000,0.26
1614139200,1808.9600000000,1809.1785000000,1807.8125000000,1807.8750000000,0.43
1614139500,1807.8850000000,1808.0650000000,1807.3315000000,1807.9400000000,0.40
1614139800,1807.9500000000,1808.2085000000,1807.1615000000,1808.0050000000,0.30
1614140100,1808.0150000000,1808.4725000000,1807.9550000000,1808.1700000000,0.33
1614140400,1808.1600000000,1808.4750000000,1808.0050000000,1808.2000000000,0.21
1614140700,1808.2450000000,1808.7750000000,1808.2000000000,1808.6050000000,0.21
1614141000,1808.6200000000,1808.7800000000,1808.3150000000,1808.6365000000,0.14
1614141300,1808.6315000000,1808.7665000000,1808.3600000000,1808.6700000000,0.21
1614141600,1808.7150000000,1809.2400000000,1808.5150000000,1808.9500000000,0.15
1614141900,1808.9250000000,1809.3080000000,1808.6400000000,1809.2700000000,0.19
1614142200,1809.2780000000,1809.5300000000,1809.2325000000,1809.3700000000,0.16
1614142500,1809.3600000000,1809.3800000000,1808.8900000000,1809.2980000000,0.18
1614142800,1809.3030000000,1809.7385000000,1808.7935000000,1809.6885000000,0.49
1614143100,1809.6985000000,1809.7585000000,1808.9875000000,1808.9985000000,0.23
1614143400,1809.0035000000,1809.3180000000,1808.1635000000,1808.3335000000,0.32
1614143700,1808.3285000000,1808.7475000000,1808.0450000000,1808.5430000000,0.48
1614144000,1808.5450000000,1808.7335000000,1808.1100000000,1808.5975000000,0.30
1614144300,1808.6075000000,1808.6535000000,1808.2780000000,1808.5100000000,0.26
1614144600,1808.4950000000,1808.9775000000,1807.6000000000,1808.9525000000,0.87
1614144900,1808.9475000000,1809.5675000000,1808.7300000000,1809.5550000000,0.59
1614145200,1809.5675000000,1810.1775000000,1808.9900000000,1809.7625000000,0.65
1614145500,1809.7675000000,1809.8125000000,1808.7000000000,1808.9850000000,0.38
1614145800,1809.0000000000,1809.1850000000,1808.3555000000,1808.4975000000,0.46
1614146100,1808.5035000000,1809.5885000000,1808.4875000000,1809.5885000000,0.40
1614146400,1809.6185000000,1809.6835000000,1807.5000000000,1807.5450000000,0.58
1614146700,1807.5600000000,1808.1500000000,1806.5915000000,1806.5965000000,0.59
1614147000,1806.6065000000,1807.3950000000,1806.1815000000,1807.2515000000,0.57
1614147300,1807.2800000000,1807.4100000000,1806.0315000000,1806.4050000000,0.71
1614147600,1806.4500000000,1808.1485000000,1806.4350000000,1808.1485000000,0.42
1614147900,1808.1385000000,1808.2535000000,1807.5615000000,1807.8515000000,0.55
1614148200,1807.8525000000,1807.9325000000,1807.0315000000,1807.3550000000,0.54
1614148500,1807.3950000000,1808.4020000000,1807.3950000000,1808.2865000000,0.56
