symbol,side,entry_ts,exit_ts,entry,exit,level,respect,touches,net_r,gross_r,fees_r,reason
AVAXUSDT,short,1771686000000,1771704000000,9.348,9.18395885714286,9.36,0.8333,9,1.454116597926644,1.599999999999993,0.145883402073349,tp
BTCUSDT,long,1771880400000,1771894800000,64448.9,63782.942285714285,64015.9,0.75,4,-1.1548420234317747,-1.0,0.15484202343177478,sl
AVAXUSDT,long,1771880400000,1771894800000,8.34,8.25336,8.325,0.75,4,-1.1540166204986164,-1.0,0.15401662049861645,sl
BCHUSDT,long,1771923600000,1771927200000,484.4,478.1868571428571,480.7,0.8333,3,-1.1247420215211987,-1.0,0.12474202152119875,sl
ETHUSDT,long,1771941600000,1771941600000,1814.67,1845.5515542857145,1810.13,0.8333,3,1.4495686079457124,1.5999999999999976,0.15043139205428518,tp
XLMUSDT,long,1771941600000,1771941600000,0.14857,0.15086586285714287,0.14843,1.0,3,1.4343371430847012,1.599999999999996,0.16566285691529503,tp
BCHUSDT,long,1772384400000,1772384400000,439.7,435.66,439.1,0.8333,3,-1.1741386138613876,-1.0,0.1741386138613877,sl
XLMUSDT,long,1772550000000,1772553600000,0.14954,0.15146137142857147,0.14912,0.8333,9,1.4007556507256673,1.5999999999999908,0.19924434927432336,tp
1000PEPEUSDT,long,1772553600000,1772636400000,0.003466,0.003687979428571428,0.003357,0.8333,3,1.560028007743316,1.5999999999999988,0.039971992256682784,tp
BNBUSDT,short,1772618400000,1772632800000,651.3,655.1451428571429,653.0,0.75,4,-1.2710120374498377,-1.0,0.27101203744983765,sl
BTCUSDT,short,1772636400000,1772636400000,71573.5,72672.46114285714,71872.3,0.8,5,-1.1042053222211945,-1.0,0.10420532222119439,sl
ETHUSDT,short,1772643600000,1772650800000,2141.2,2168.7010285714287,2160.0,0.875,4,-1.1245742496904,-1.0,0.12457424969040001,sl
BCHUSDT,short,1772654400000,1772668800000,471.2,461.9108571428572,473.0,1.0,3,1.47014173228346,1.599999999999996,0.12985826771653602,tp
1000PEPEUSDT,long,1772820000000,1772820000000,0.003322,0.003374672,0.003318,0.8333,3,1.4385419198055898,1.6,0.1614580801944103,tp
XLMUSDT,long,1772924400000,1772928000000,0.14942,0.15039398857142855,0.14916,0.75,12,1.2072693138082953,1.5999999999999817,0.39273068619168633,tp
1000PEPEUSDT,long,1772985600000,1772985600000,0.003173,0.00314984,0.003171,0.8333,3,-1.2192055267702941,-1.0,0.21920552677029426,sl
DOGEUSDT,long,1773010800000,1773133200000,0.08939,0.09430053714285713,0.08781,0.75,4,1.55339849932041,1.599999999999998,0.04660150067958817,tp
BTCUSDT,short,1773392400000,1773396000000,71796.4,72231.87771428571,71996.9,0.75,6,-1.2637890211865817,-1.0,0.2637890211865817,sl
BCHUSDT,short,1773410400000,1773478800000,469.3,455.9240000000001,474.8,0.8333,3,1.5101818181818163,1.5999999999999985,0.0898181818181823,tp
BTCUSDT,short,1773414000000,1773543600000,72351.7,71319.6,73579.0,0.875,4,0.5844043128688484,0.6582332777205563,0.07382896485170783,time
BCHUSDT,short,1773658800000,1773662400000,474.1,476.032,475.0,0.8,5,-1.3926293995859296,-1.0,0.39262939958592963,sl
BTCUSDT,short,1773698400000,1773698400000,74361.8,74830.65485714286,74499.8,1.0,3,-1.2537648446793173,-1.0,0.2537648446793173,sl
HYPEUSDT,long,1774036800000,1774116000000,39.106,40.40572114285715,38.571,0.8333,3,1.5229747391968043,1.6,0.07702526080319594,tp
1000PEPEUSDT,long,1774216800000,1774227600000,0.003252,0.003311593142857144,0.003248,0.875,4,1.460300705737963,1.6000000000000048,0.13969929426204178,tp
TAOUSDT,long,1774944000000,1775052000000,308.3,320.07536,305.0,0.8333,3,1.532974618185768,1.599999999999997,0.06702538181422904,tp
HYPEUSDT,long,1774958400000,1774962000000,35.8,36.09319314285713,35.731,1.0,3,1.2874142447299277,1.5999999999999845,0.3125857552700569,tp
ATOMUSDT,long,1775138400000,1775138400000,1.6171,1.6284691428571427,1.6145,0.8333,3,1.2358761560112452,1.5999999999999874,0.3641238439887422,tp
HYPEUSDT,short,1775836800000,1775890800000,41.69,42.34128571428571,42.158,0.75,4,-1.1024189515244573,-1.0,0.10241895152445733,sl
BCHUSDT,long,1776034800000,1776114000000,421.9,428.5925714285714,421.2,0.8333,3,1.4386174863387946,1.5999999999999972,0.16138251366120265,tp
TAOUSDT,long,1776168000000,1776168000000,249.65,247.03422857142857,249.13,0.75,6,-1.1527044739601535,-1.0,0.15270447396015344,sl
ETHUSDT,long,1776348000000,1776348000000,2306.7,2286.943714285714,2301.01,0.8,5,-1.186812443056098,-1.0,0.18681244305609804,sl
1000PEPEUSDT,short,1776369600000,1776369600000,0.004033,0.004055611428571428,0.004036,0.75,4,-1.2853778114733458,-1.0,0.2853778114733458,sl
HYPEUSDT,long,1776592800000,1776596400000,42.888,43.23253942857142,42.869,1.0,4,1.2813331918055462,1.6000000000000132,0.318666808194467,tp
BCHUSDT,short,1776722400000,1776740400000,444.5,441.6501714285714,445.7,0.8077,13,1.2007058068655783,1.6,0.39929419313442177,tp
DOGEUSDT,short,1777230000000,1777233600000,0.09904,0.09966885714285714,0.0995,1.0,3,-1.2519872785097697,-1.0,0.2519872785097697,sl
BTCUSDT,short,1777240800000,1777248000000,78375.5,78967.37257142857,78483.4,0.7857,7,-1.2118712811734582,-1.0,0.21187128117345833,sl
1000PEPEUSDT,short,1777989600000,1777989600000,0.004114,0.004143091428571428,0.00413,0.8333,3,-1.2262659595364371,-1.0,0.22626595953643716,sl
ONDOUSDT,short,1778022000000,1778076000000,0.3224,0.3296685714285714,0.3275,1.0,3,-1.0709685534591198,-1.0,0.07096855345911976,sl
1000PEPEUSDT,long,1778605200000,1778605200000,0.004074,0.004102251428571429,0.004072,0.75,8,1.2308349514563073,1.6,0.3691650485436927,tp
BCHUSDT,long,1778911200000,1778911200000,423.4,422.2451428571428,423.3,0.75,6,-1.5866006927263605,-1.0,0.5866006927263605,sl
HYPEUSDT,short,1779192000000,1779210000000,47.746,48.752045714285714,48.531,1.0,3,-1.0759345215781164,-1.0,0.0759345215781165,sl
TAOUSDT,short,1779300000000,1779332400000,273.52,276.8113714285714,275.23,0.75,8,-1.1329634195038105,-1.0,0.13296341950381044,sl
ETHUSDT,short,1779328800000,1779357600000,2140.24,2109.8668799999996,2149.12,0.8333,3,1.4196097602090283,1.6,0.18039023979097188,tp
BCHUSDT,short,1779386400000,1779386400000,381.7,378.7678857142857,382.0,0.75,4,1.2667415029622724,1.6,0.3332584970377277,tp
XLMUSDT,short,1779451200000,1779451200000,0.14874,0.14906285714285714,0.14878,0.8333,3,-1.7371185840708379,-1.0,0.7371185840708379,sl
XRPUSDT,long,1779462000000,1779462000000,1.3513,1.3483697142857143,1.3504,0.75,6,-1.7378393135725556,-1.0,0.7378393135725557,sl
XRPUSDT,long,1779476400000,1779490800000,1.3493,1.332542857142857,1.3453,0.8333,3,-1.1288334185848248,-1.0,0.1288334185848248,sl
ETHUSDT,long,1779818400000,1779886800000,2069.6,2050.837257142857,2060.13,0.875,4,-1.1764859234714402,-1.0,0.1764859234714402,sl
XRPUSDT,long,1779858000000,1779886800000,1.3302,1.3200982857142858,1.3254,0.75,4,-1.2106889919674175,-1.0,0.2106889919674175,sl
BCHUSDT,long,1779858000000,1779886800000,342.6,339.4902857142857,341.8,0.75,4,-1.1762734288864354,-1.0,0.17627342888643538,sl
ETHUSDT,long,1779904800000,1779915600000,2051.01,2041.7870857142857,2050.11,0.75,4,-1.3558111783693938,-1.0,0.3558111783693938,sl
DOGEUSDT,long,1779919200000,1779937200000,0.10033,0.09907434285714285,0.10007,0.75,4,-1.1278438154182209,-1.0,0.12784381541822082,sl
1000PEPEUSDT,long,1780322400000,1780329600000,0.003338,0.003389629714285714,0.003319,0.75,4,1.434489109261549,1.5999999999999945,0.16551089073844558,tp
AVAXUSDT,long,1780329600000,1780329600000,8.728,8.830125714285714,8.703,0.8333,3,1.3812139659803089,1.6000000000000056,0.21878603401969665,tp
AVAXUSDT,long,1780383600000,1780408800000,8.707,8.618165714285714,8.663,0.8333,3,-1.1568223337192838,-1.0,0.15682233371928367,sl
1000PEPEUSDT,short,1780873200000,1781002800000,0.002797,0.002798,0.002813,0.8333,3,-0.057838947241339006,-0.010563805384523905,0.047275141856815105,time
AVAXUSDT,long,1781024400000,1781028000000,6.516,6.652566857142857,6.502,0.75,4,1.4778549909620426,1.600000000000002,0.12214500903795943,tp
TAOUSDT,long,1781074800000,1781082000000,205.0,203.25868571428572,204.7,0.8125,8,-1.1883634693006928,-1.0,0.18836346930069287,sl
DOGEUSDT,short,1781240400000,1781240400000,0.08697,0.08721817142857143,0.08705,0.8,5,-1.5607091871978094,-1.0,0.5607091871978094,sl
1000PEPEUSDT,short,1781258400000,1781269200000,0.002831,0.002795772571428572,0.002839,0.75,6,1.3942694004671718,1.6000000000000079,0.20573059953283593,tp
BNBUSDT,short,1781265600000,1781272800000,606.4,608.8817142857143,607.7,0.9167,6,-1.3909555606723345,-1.0,0.39095556067233445,sl
BTCUSDT,short,1781280000000,1781384400000,63565.7,64409.38114285714,63988.8,0.7857,7,-1.1205492393199323,-1.0,0.12054923931993226,sl
