trades,net_r,pf,win_rate,avg_r,tag,symbols,positive_symbols,years,positive_years,months,positive_months,worst_month_r,top_symbol_frac
52,-12.9829,0.6700065323095146,0.4423,-0.2497,choch_short_rr1.5_sl0.8_h12_b0.2_cd10,4,1,1,0,4,1,-8.9388,0.3846
103,-13.0842,0.8161590416361652,0.4757,-0.127,bos_short_rr1.5_sl1.0_h12_b0.2_cd20,4,2,1,0,4,0,-7.2413,0.301
49,-13.0883,0.5753833077037874,0.5102,-0.2671,choch_short_rr1.0_sl1.0_h12_b0.2_cd20,4,1,1,0,4,0,-6.6693,0.3878
59,-13.3381,0.7259600469262679,0.3898,-0.2261,choch_short_rr2.0_sl0.8_h12_b0.1_cd5,4,1,1,0,4,1,-13.0166,0.4237
59,-13.4821,0.6358020022367135,0.4068,-0.2285,choch_short_rr1.5_sl1.0_h6_b0.1_cd5,4,1,1,0,4,1,-9.5935,0.4237
59,-13.8192,0.6119542966896269,0.5254,-0.2342,choch_short_rr1.0_sl1.0_h12_b0.1_cd5,4,1,1,0,4,1,-6.371,0.4237
49,-13.8939,0.6419024103589765,0.3878,-0.2835,choch_short_rr2.0_sl0.8_h6_b0.2_cd20,4,0,1,0,4,0,-9.0841,0.3878
55,-13.9963,0.6717727316431414,0.4,-0.2545,choch_short_rr2.0_sl0.8_h6_b0.1_cd10,4,1,1,0,4,1,-9.4492,0.4
55,-14.0247,0.5408737498567757,0.4727,-0.255,choch_short_rr1.0_sl1.0_h6_b0.2_cd5,4,1,1,0,4,0,-5.8389,0.4182
55,-14.1473,0.656849642352108,0.4182,-0.2572,choch_short_rr1.5_sl1.0_h12_b0.1_cd10,4,1,1,0,4,2,-13.6223,0.4
132,-14.1851,0.8603333858453782,0.4091,-0.1075,bos_short_rr2.0_sl1.0_h12_b0.1_cd10,4,1,1,0,4,2,-8.584,0.3258
51,-14.2546,0.6322627247633053,0.4118,-0.2795,choch_short_rr1.5_sl1.0_h12_b0.1_cd20,4,1,1,0,4,1,-13.791,0.4118
49,-14.2638,0.49842464308319856,0.4694,-0.2911,choch_short_rr1.0_sl1.0_h6_b0.2_cd20,4,0,1,0,4,0,-5.2816,0.3878
49,-14.3602,0.6228780621034496,0.4286,-0.2931,choch_short_rr1.5_sl0.8_h12_b0.2_cd20,4,1,1,0,4,1,-9.0866,0.3878
59,-14.4246,0.5423551359171552,0.4746,-0.2445,choch_short_rr1.0_sl1.0_h6_b0.1_cd5,4,1,1,0,4,0,-7.2097,0.4237
52,-14.4829,0.543926110670244,0.5385,-0.2785,choch_short_rr1.0_sl0.8_h12_b0.2_cd10,4,1,1,0,4,0,-7.1622,0.3846
54,-14.5266,0.6621304486366923,0.3333,-0.269,choch_short_rr2.0_sl1.0_h12_b0.1_cd10,4,1,1,0,4,1,-14.4658,0.4074
87,-14.6451,0.6710954501660794,0.5747,-0.1683,choch_short_rr1.0_sl0.8_h6_b0.2_cd0,4,1,1,0,4,1,-13.5476,0.4368
59,-14.6471,0.6732046121855227,0.3898,-0.2483,choch_short_rr2.0_sl0.8_h6_b0.1_cd5,4,1,1,0,4,1,-10.2894,0.4237
52,-15.5285,0.6550471718022138,0.3654,-0.2986,choch_short_rr2.0_sl0.8_h12_b0.1_cd20,4,1,1,0,4,1,-13.268,0.4038
51,-15.7095,0.5287413904821331,0.4902,-0.308,choch_short_rr1.0_sl1.0_h12_b0.1_cd20,4,1,1,0,4,0,-9.2459,0.4118
55,-15.7125,0.5181338092959924,0.5273,-0.2857,choch_short_rr1.0_sl0.8_h6_b0.2_cd5,4,0,1,0,4,0,-11.1736,0.4182
145,-15.7993,0.8554748638613522,0.4207,-0.109,bos_short_rr2.0_sl1.0_h12_b0.2_cd5,4,2,1,0,4,1,-9.9708,0.3241
59,-15.8223,0.5609100218403021,0.5424,-0.2682,choch_short_rr1.0_sl0.8_h12_b0.1_cd5,4,1,1,0,4,0,-9.9638,0.4237
50,-15.9325,0.4952223144528156,0.52,-0.3186,choch_short_rr1.0_sl0.8_h12_b0.2_cd20,4,0,1,0,4,0,-7.1622,0.38
55,-16.1064,0.6597991711691922,0.3636,-0.2928,choch_short_rr2.0_sl0.8_h12_b0.1_cd10,4,1,1,0,4,1,-15.5955,0.4
52,-16.3937,0.6038025405050076,0.3846,-0.3153,choch_short_rr2.0_sl0.8_h6_b0.1_cd20,4,1,1,0,4,0,-10.097,0.4038
103,-16.689,0.8022939540261474,0.4175,-0.162,bos_short_rr2.0_sl0.8_h12_b0.2_cd20,4,2,1,0,4,1,-8.3601,0.301
55,-16.6903,0.5217322780493676,0.5273,-0.3035,choch_short_rr1.0_sl0.8_h12_b0.1_cd10,4,1,1,0,4,0,-8.6196,0.4
52,-16.8617,0.5648290332487683,0.4231,-0.3243,choch_short_rr1.5_sl0.8_h6_b0.2_cd10,4,1,1,0,4,0,-8.3184,0.3846
55,-16.94,0.5751020858624876,0.4182,-0.308,choch_short_rr1.5_sl0.8_h6_b0.2_cd5,4,1,1,0,4,1,-8.1014,0.4182
55,-17.1903,0.6052227271996564,0.4182,-0.3126,choch_short_rr1.5_sl0.8_h12_b0.1_cd10,4,1,1,0,4,1,-11.6794,0.4
124,-17.6116,0.8161112045031435,0.4032,-0.142,bos_short_rr2.0_sl1.0_h12_b0.2_cd10,4,2,1,0,4,1,-8.819,0.3145
155,-17.6555,0.8509551096763737,0.4129,-0.1139,bos_short_rr2.0_sl1.0_h12_b0.1_cd5,4,1,1,0,4,1,-10.9518,0.329
52,-17.6591,0.4572109178090613,0.5,-0.3396,choch_short_rr1.0_sl0.8_h6_b0.2_cd10,4,0,1,0,4,0,-9.8355,0.3846
