trades,net_r,pf,win_rate,avg_r,tag,symbol
27,-7.3251,0.5328588647190496,0.5185,-0.2713,bos_long_rr1.0_sl1.0_h6_b0.2_cd10,EURUSD
33,-13.5845,0.41038216975194775,0.4545,-0.4117,bos_long_rr1.0_sl1.0_h6_b0.2_cd10,GBPUSD
43,-20.4772,0.3130692358527593,0.3953,-0.4762,bos_long_rr1.0_sl1.0_h6_b0.2_cd10,USDJPY
19,2.4996,1.333204473652639,0.6316,0.1316,bos_long_rr1.0_sl1.0_h6_b0.2_cd20,XAUUSD
22,-7.0661,0.45635766327888777,0.4545,-0.3212,bos_long_rr1.0_sl1.0_h6_b0.2_cd20,EURUSD
26,-8.0234,0.4970285857572718,0.5,-0.3086,bos_long_rr1.0_sl1.0_h6_b0.2_cd20,GBPUSD
31,-9.6101,0.4576937835763622,0.4516,-0.31,bos_long_rr1.0_sl1.0_h6_b0.2_cd20,USDJPY
26,-3.0386,0.7820495348486913,0.5,-0.1169,bos_long_rr1.0_sl1.0_h6_b0.2_cd5,XAUUSD
31,-7.4131,0.5623778741993566,0.5161,-0.2391,bos_long_rr1.0_sl1.0_h6_b0.2_cd5,EURUSD
35,-8.2266,0.595113764438954,0.5429,-0.235,bos_long_rr1.0_sl1.0_h6_b0.2_cd5,GBPUSD
50,-25.9365,0.26856196911414676,0.38,-0.5187,bos_long_rr1.0_sl1.0_h6_b0.2_cd5,USDJPY
44,-2.5538,0.9085947035179837,0.4091,-0.058,bos_long_rr1.5_sl0.8_h12_b0.1_cd0,XAUUSD
53,-26.64,0.40724786340000313,0.3585,-0.5026,bos_long_rr1.5_sl0.8_h12_b0.1_cd0,EURUSD
60,-42.5194,0.287986188210747,0.2833,-0.7087,bos_long_rr1.5_sl0.8_h12_b0.1_cd0,GBPUSD
83,-55.8,0.30979033953862334,0.3253,-0.6723,bos_long_rr1.5_sl0.8_h12_b0.1_cd0,USDJPY
21,2.5728,1.2222721382289419,0.4762,0.1225,bos_long_rr1.5_sl0.8_h12_b0.1_cd10,XAUUSD
30,-9.9095,0.5374968495925473,0.4,-0.3303,bos_long_rr1.5_sl0.8_h12_b0.1_cd10,EURUSD
44,-24.7779,0.37384481255449,0.3409,-0.5631,bos_long_rr1.5_sl0.8_h12_b0.1_cd10,USDJPY
34,-26.5191,0.2505108399820252,0.2647,-0.78,bos_long_rr1.5_sl0.8_h12_b0.1_cd10,GBPUSD
19,4.7855,1.5112659052787898,0.5263,0.2519,bos_long_rr1.5_sl0.8_h12_b0.1_cd20,XAUUSD
23,-9.7931,0.43022958144730566,0.3478,-0.4258,bos_long_rr1.5_sl0.8_h12_b0.1_cd20,EURUSD
28,-15.6851,0.3773110010996733,0.3571,-0.5602,bos_long_rr1.5_sl0.8_h12_b0.1_cd20,GBPUSD
31,-15.9642,0.39676241866370415,0.3548,-0.515,bos_long_rr1.5_sl0.8_h12_b0.1_cd20,USDJPY
26,2.1352,1.143863951811775,0.4615,0.0821,bos_long_rr1.5_sl0.8_h12_b0.1_cd5,XAUUSD
33,-11.7629,0.5160097103357473,0.3939,-0.3565,bos_long_rr1.5_sl0.8_h12_b0.1_cd5,EURUSD
39,-28.756,0.27619987314116573,0.2821,-0.7373,bos_long_rr1.5_sl0.8_h12_b0.1_cd5,GBPUSD
54,-38.1815,0.2778612065182854,0.2963,-0.7071,bos_long_rr1.5_sl0.8_h12_b0.1_cd5,USDJPY
43,-6.4916,0.7763992270624586,0.3721,-0.151,bos_long_rr1.5_sl0.8_h12_b0.2_cd0,XAUUSD
50,-25.4068,0.4056874986842074,0.36,-0.5081,bos_long_rr1.5_sl0.8_h12_b0.2_cd0,EURUSD
56,-36.7312,0.31889580540303997,0.3036,-0.6559,bos_long_rr1.5_sl0.8_h12_b0.2_cd0,GBPUSD
75,-50.0312,0.3189577840182841,0.3333,-0.6671,bos_long_rr1.5_sl0.8_h12_b0.2_cd0,USDJPY
21,0.0737,1.0058218068929563,0.4286,0.0035,bos_long_rr1.5_sl0.8_h12_b0.2_cd10,XAUUSD
27,-8.8215,0.5446685730212969,0.4074,-0.3267,bos_long_rr1.5_sl0.8_h12_b0.2_cd10,EURUSD
30,-20.4045,0.3027749587395311,0.3,-0.6801,bos_long_rr1.5_sl0.8_h12_b0.2_cd10,GBPUSD
42,-21.8983,0.4048194342899542,0.381,-0.5214,bos_long_rr1.5_sl0.8_h12_b0.2_cd10,USDJPY
19,4.7895,1.5116221932616918,0.5263,0.2521,bos_long_rr1.5_sl0.8_h12_b0.2_cd20,XAUUSD
21,-10.1059,0.3888767945043116,0.3333,-0.4812,bos_long_rr1.5_sl0.8_h12_b0.2_cd20,EURUSD
31,-13.0535,0.4884751634089377,0.4194,-0.4211,bos_long_rr1.5_sl0.8_h12_b0.2_cd20,USDJPY
25,-13.5666,0.38829120487686103,0.36,-0.5427,bos_long_rr1.5_sl0.8_h12_b0.2_cd20,GBPUSD
25,3.2047,1.2330030027846648,0.48,0.1282,bos_long_rr1.5_sl0.8_h12_b0.2_cd5,XAUUSD
31,-12.0715,0.4896375904755463,0.3871,-0.3894,bos_long_rr1.5_sl0.8_h12_b0.2_cd5,EURUSD
35,-22.9442,0.32352715715237607,0.3143,-0.6555,bos_long_rr1.5_sl0.8_h12_b0.2_cd5,GBPUSD
49,-29.8896,0.3410175231275299,0.3469,-0.61,bos_long_rr1.5_sl0.8_h12_b0.2_cd5,USDJPY
45,-2.2754,0.9159947427491286,0.4222,-0.0506,bos_long_rr1.5_sl0.8_h6_b0.1_cd0,XAUUSD
53,-26.1699,0.4014436767097345,0.3774,-0.4938,bos_long_rr1.5_sl0.8_h6_b0.1_cd0,EURUSD
61,-39.7014,0.3007300684274027,0.3115,-0.6508,bos_long_rr1.5_sl0.8_h6_b0.1_cd0,GBPUSD
84,-50.3279,0.3248673288152692,0.3452,-0.5991,bos_long_rr1.5_sl0.8_h6_b0.1_cd0,USDJPY
21,2.6576,1.2434658336158009,0.5238,0.1266,bos_long_rr1.5_sl0.8_h6_b0.1_cd10,XAUUSD
30,-9.7,0.5420899580799879,0.4333,-0.3233,bos_long_rr1.5_sl0.8_h6_b0.1_cd10,EURUSD
46,-24.5478,0.37088540118299523,0.3913,-0.5336,bos_long_rr1.5_sl0.8_h6_b0.1_cd10,USDJPY
35,-25.3291,0.2775808222694408,0.2857,-0.7237,bos_long_rr1.5_sl0.8_h6_b0.1_cd10,GBPUSD
19,5.7179,1.7280981001375235,0.5789,0.3009,bos_long_rr1.5_sl0.8_h6_b0.1_cd20,XAUUSD
23,-9.7334,0.43350851768430737,0.3913,-0.4232,bos_long_rr1.5_sl0.8_h6_b0.1_cd20,EURUSD
34,-13.6123,0.4732795480488324,0.4412,-0.4004,bos_long_rr1.5_sl0.8_h6_b0.1_cd20,USDJPY
29,-14.466,0.41833768259878323,0.3793,-0.4988,bos_long_rr1.5_sl0.8_h6_b0.1_cd20,GBPUSD
26,2.22,1.1565309360126916,0.5,0.0854,bos_long_rr1.5_sl0.8_h6_b0.1_cd5,XAUUSD
33,-12.8895,0.4716595207450341,0.3939,-0.3906,bos_long_rr1.5_sl0.8_h6_b0.1_cd5,EURUSD
40,-26.2172,0.3081638523186375,0.3,-0.6554,bos_long_rr1.5_sl0.8_h6_b0.1_cd5,GBPUSD
55,-38.4095,0.26489980038544936,0.3273,-0.6984,bos_long_rr1.5_sl0.8_h6_b0.1_cd5,USDJPY
45,-8.509,0.7110627417290054,0.3778,-0.1891,bos_long_rr1.5_sl0.8_h6_b0.2_cd0,XAUUSD
50,-24.6264,0.40253867204937593,0.38,-0.4925,bos_long_rr1.5_sl0.8_h6_b0.2_cd0,EURUSD
58,-35.5265,0.325814017921868,0.3276,-0.6125,bos_long_rr1.5_sl0.8_h6_b0.2_cd0,GBPUSD
76,-47.2442,0.3144589292347697,0.3289,-0.6216,bos_long_rr1.5_sl0.8_h6_b0.2_cd0,USDJPY
21,-0.8672,0.9277333333333333,0.4762,-0.0413,bos_long_rr1.5_sl0.8_h6_b0.2_cd10,XAUUSD
27,-8.5384,0.5519687683653764,0.4444,-0.3162,bos_long_rr1.5_sl0.8_h6_b0.2_cd10,EURUSD
32,-20.8331,0.30086983952266216,0.3125,-0.651,bos_long_rr1.5_sl0.8_h6_b0.2_cd10,GBPUSD
44,-24.9807,0.3444676244833694,0.3636,-0.5677,bos_long_rr1.5_sl0.8_h6_b0.2_cd10,USDJPY
19,4.6962,1.5978992933986886,0.5789,0.2472,bos_long_rr1.5_sl0.8_h6_b0.2_cd20,XAUUSD
21,-9.7359,0.3997743582155803,0.381,-0.4636,bos_long_rr1.5_sl0.8_h6_b0.2_cd20,EURUSD
26,-12.3319,0.41411142045400556,0.3846,-0.4743,bos_long_rr1.5_sl0.8_h6_b0.2_cd20,GBPUSD
32,-12.9115,0.47181211622874303,0.4062,-0.4035,bos_long_rr1.5_sl0.8_h6_b0.2_cd20,USDJPY
25,2.2638,1.172880423991569,0.52,0.0906,bos_long_rr1.5_sl0.8_h6_b0.2_cd5,XAUUSD
31,-12.8878,0.4500548332174084,0.3871,-0.4157,bos_long_rr1.5_sl0.8_h6_b0.2_cd5,EURUSD
36,-19.0011,0.3876479630805325,0.3611,-0.5278,bos_long_rr1.5_sl0.8_h6_b0.2_cd5,GBPUSD
50,-31.6053,0.3023928767715918,0.34,-0.6321,bos_long_rr1.5_sl0.8_h6_b0.2_cd5,USDJPY
37,0.0983,1.0046887893574499,0.4595,0.0027,bos_long_rr1.5_sl1.0_h12_b0.1_cd0,XAUUSD
51,-25.3592,0.40522182923511363,0.3137,-0.4972,bos_long_rr1.5_sl1.0_h12_b0.1_cd0,EURUSD
54,-26.6873,0.42822403715955637,0.3333,-0.4942,bos_long_rr1.5_sl1.0_h12_b0.1_cd0,GBPUSD
72,-39.3775,0.36802463865341223,0.3333,-0.5469,bos_long_rr1.5_sl1.0_h12_b0.1_cd0,USDJPY
21,-3.1058,0.7684933957482335,0.381,-0.1479,bos_long_rr1.5_sl1.0_h12_b0.1_cd10,XAUUSD
