trades,net_r,pf,win_rate,avg_r,tag,month
61,-19.2385,0.6097057755470936,0.4098,-0.3154,bos_short_rr1.5_sl0.8_h12_b0.2_cd5,2026-06
2,-0.4842,0.6599719101123596,0.5,-0.2421,bos_short_rr1.5_sl0.8_h12_b0.2_cd5,2026-07
59,-22.2179,0.536206259511071,0.4068,-0.3766,bos_short_rr1.5_sl0.8_h6_b0.1_cd0,2026-04
104,-50.7869,0.4429813449328389,0.3558,-0.4883,bos_short_rr1.5_sl0.8_h6_b0.1_cd0,2026-05
109,-37.2099,0.5718910821715915,0.4128,-0.3414,bos_short_rr1.5_sl0.8_h6_b0.1_cd0,2026-06
5,1.7504,2.2292134831460673,0.8,0.3501,bos_short_rr1.5_sl0.8_h6_b0.1_cd0,2026-07
28,-12.1598,0.4863192223691381,0.3929,-0.4343,bos_short_rr1.5_sl0.8_h6_b0.1_cd10,2026-04
53,-17.7368,0.58147590574666,0.4151,-0.3347,bos_short_rr1.5_sl0.8_h6_b0.1_cd10,2026-05
53,-6.9634,0.8156377249789516,0.4906,-0.1314,bos_short_rr1.5_sl0.8_h6_b0.1_cd10,2026-06
3,0.3703,1.2600421348314608,0.6667,0.1234,bos_short_rr1.5_sl0.8_h6_b0.1_cd10,2026-07
22,-11.3938,0.41267255688320253,0.3636,-0.5179,bos_short_rr1.5_sl0.8_h6_b0.1_cd20,2026-04
43,-14.7857,0.5771587903052834,0.4186,-0.3439,bos_short_rr1.5_sl0.8_h6_b0.1_cd20,2026-05
40,0.1587,1.0061575351235583,0.55,0.004,bos_short_rr1.5_sl0.8_h6_b0.1_cd20,2026-06
2,-0.4842,0.6599719101123596,0.5,-0.2421,bos_short_rr1.5_sl0.8_h6_b0.1_cd20,2026-07
34,-19.189,0.37028054987644515,0.3235,-0.5644,bos_short_rr1.5_sl0.8_h6_b0.1_cd5,2026-04
65,-23.1396,0.5573113758020761,0.4,-0.356,bos_short_rr1.5_sl0.8_h6_b0.1_cd5,2026-05
66,-8.8873,0.8023221415305225,0.4848,-0.1347,bos_short_rr1.5_sl0.8_h6_b0.1_cd5,2026-06
3,0.3896,1.2735955056179777,0.6667,0.1299,bos_short_rr1.5_sl0.8_h6_b0.1_cd5,2026-07
55,-19.8062,0.5489035866881667,0.4182,-0.3601,bos_short_rr1.5_sl0.8_h6_b0.2_cd0,2026-04
102,-49.9394,0.44488092697328635,0.3529,-0.4896,bos_short_rr1.5_sl0.8_h6_b0.2_cd0,2026-05
101,-42.5923,0.4986787915739271,0.3762,-0.4217,bos_short_rr1.5_sl0.8_h6_b0.2_cd0,2026-06
