IRV4_LEVEL_ENTRY_MAX_CHASE_ATR,IRV4_LEVEL_ENTRY_VALIDITY_BARS,IRV4_RETEST_MIN_QUALITY,IRV4_TP_RR,avg_loss,avg_win,combo,days,end_date_utc,ending_equity,entry_execution,fee_bps_per_side,fold,max_drawdown,net_pnl,news_blocked_signals,phase,profit_factor,score,slippage_bps_per_side,starting_equity,strategies,summary_path,symbols,tag,trades,winrate
0.4,2,0.55,2.5,-0.2769,0.1978,21,120,2025-11-02,100.08,next_open,6.0000,1,0.8343,0.08,0,train,1.072,1.741125,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_080124_irv4_wide_gate_20260702_f01_train_c021_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c021_20260702_044439,10,0.600
0.6,2,0.55,2.5,-0.2769,0.1978,22,120,2025-11-02,100.08,next_open,6.0000,1,0.8343,0.08,0,train,1.072,1.741125,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_080215_irv4_wide_gate_20260702_f01_train_c022_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c022_20260702_044439,10,0.600
0.4,4,0.55,2.5,-0.2882,0.1735,23,120,2025-11-02,99.77,next_open,6.0000,1,0.8340,-0.23,0,train,0.843,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_080306_irv4_wide_gate_20260702_f01_train_c023_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c023_20260702_044439,12,0.583
0.6,4,0.55,2.5,-0.2882,0.1735,24,120,2025-11-02,99.77,next_open,6.0000,1,0.8340,-0.23,0,train,0.843,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_080357_irv4_wide_gate_20260702_f01_train_c024_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c024_20260702_044439,12,0.583
0.4,2,0.35,3.0,-0.2717,0.2434,25,120,2025-11-02,102.80,next_open,6.0000,1,1.4317,2.80,0,train,1.792,11.754375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_080449_irv4_wide_gate_20260702_f01_train_c025_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c025_20260702_044439,39,0.667
0.6,2,0.35,3.0,-0.2717,0.2434,26,120,2025-11-02,102.80,next_open,6.0000,1,1.4317,2.80,0,train,1.792,11.754375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_080540_irv4_wide_gate_20260702_f01_train_c026_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c026_20260702_044439,39,0.667
0.4,4,0.35,3.0,-0.2820,0.2270,27,120,2025-11-02,100.72,next_open,6.0000,1,2.0833,0.72,0,train,1.127,3.409875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_080631_irv4_wide_gate_20260702_f01_train_c027_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c027_20260702_044439,48,0.583
0.6,4,0.35,3.0,-0.2820,0.2270,28,120,2025-11-02,100.72,next_open,6.0000,1,2.0833,0.72,0,train,1.127,3.409875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_080722_irv4_wide_gate_20260702_f01_train_c028_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c028_20260702_044439,48,0.583
0.4,2,0.45,3.0,-0.2586,0.2481,29,120,2025-11-02,101.88,next_open,6.0000,1,1.1450,1.88,0,train,1.727,8.782750,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_080810_irv4_wide_gate_20260702_f01_train_c029_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c029_20260702_044439,28,0.643
0.6,2,0.45,3.0,-0.2586,0.2481,30,120,2025-11-02,101.88,next_open,6.0000,1,1.1450,1.88,0,train,1.727,8.782750,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_080859_irv4_wide_gate_20260702_f01_train_c030_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c030_20260702_044439,28,0.643
