market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars,trades,net_r,pf,win_rate,symbols,positive_symbols,top_symbol_frac,preflight_go,preflight_reasons
fx,bos,long,1.5,1.0,12,0.2,5,136,-44.5984,0.5591806396261402,0.3897,4,0,0.3456,False,low_quality_pf_0.56<0.80
fx,bos,long,1.5,1.0,12,0.2,10,116,-29.2337,0.6395418087211704,0.4138,4,0,0.3276,False,low_quality_pf_0.64<0.80
fx,bos,long,1.5,1.0,12,0.2,20,94,-33.4052,0.5327310138578241,0.3723,4,0,0.3191,False,low_quality_pf_0.53<0.80
fx,bos,long,2.0,0.8,6,0.1,0,225,-111.5735,0.44328795584763825,0.3111,4,0,0.3511,False,low_quality_pf_0.44<0.80
fx,bos,long,2.0,0.8,6,0.1,5,153,-63.3937,0.5131717783590262,0.3399,4,1,0.3595,False,low_quality_pf_0.51<0.80
fx,bos,long,2.0,0.8,6,0.1,10,130,-42.0572,0.6038569532631229,0.3846,4,1,0.3462,False,low_quality_pf_0.60<0.80
fx,bos,long,2.0,0.8,6,0.1,20,105,-34.961,0.5865558819494705,0.381,4,0,0.3238,False,low_quality_pf_0.59<0.80
fx,bos,long,2.0,0.8,6,0.2,0,210,-106.6519,0.42519906136382496,0.3048,4,0,0.3333,False,low_quality_pf_0.43<0.80
fx,bos,long,2.0,0.8,6,0.2,5,141,-57.6441,0.5051307695939767,0.3475,4,0,0.3546,False,low_quality_pf_0.51<0.80
fx,bos,long,2.0,0.8,6,0.2,10,122,-45.7954,0.5419621790787714,0.3689,4,0,0.3525,False,low_quality_pf_0.54<0.80
fx,bos,long,2.0,0.8,6,0.2,20,98,-40.6061,0.49795192684552225,0.3469,4,0,0.3265,False,low_quality_pf_0.50<0.80
fx,bos,long,2.0,0.8,12,0.1,0,218,-125.3819,0.4147749125302923,0.2706,4,0,0.3532,False,low_quality_pf_0.41<0.80
fx,bos,long,2.0,0.8,12,0.1,5,150,-71.1211,0.4890097849664004,0.3,4,0,0.36,False,low_quality_pf_0.49<0.80
fx,bos,long,2.0,0.8,12,0.1,10,125,-47.1068,0.5660830973694245,0.328,4,0,0.336,False,low_quality_pf_0.57<0.80
fx,bos,long,2.0,0.8,12,0.1,20,100,-39.1525,0.5467663292616294,0.32,4,0,0.31,False,low_quality_pf_0.55<0.80
