run_id,tag,run_dir,passed,fail_reasons,score,trades,net_pnl,profit_factor,winrate,max_drawdown,negative_months,positive_months,max_negative_streak,worst_month_pnl,overrides_json
69,range_live_side_exit_repair_v1_r069,/root/by-bot/backtest_runs/portfolio_20260618_195738_range_live_side_exit_repair_v1_r069,False,pf<1.15;dd>8.0;net<1.0,-1020.7568237500001,179,-5.75,0.794,0.235,9.4248,3,2,2,-5.4714825,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.55""}"
79,range_live_side_exit_repair_v1_r079,/root/by-bot/backtest_runs/portfolio_20260618_202122_range_live_side_exit_repair_v1_r079,False,pf<1.15;dd>8.0;net<1.0,-1021.45367117,189,-7.53,0.751,0.222,8.8598,3,2,2,-5.265380779999998,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.015"", ""RANGE_SL_ATR_MULT"": ""0.8"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.45""}"
101,range_live_side_exit_repair_v1_r101,/root/by-bot/backtest_runs/portfolio_20260618_211239_range_live_side_exit_repair_v1_r101,False,pf<1.15;dd>8.0;net<1.0,-1022.66703575,134,-5.19,0.765,0.239,9.8279,3,2,2,-4.575490500000001,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.02"", ""RANGE_SL_ATR_MULT"": ""0.88"", ""RANGE_SL_WIDTH_FRAC"": ""0.11"", ""RANGE_WICK_FRAC_MIN"": ""0.45""}"
86,range_live_side_exit_repair_v1_r086,/root/by-bot/backtest_runs/portfolio_20260618_203802_range_live_side_exit_repair_v1_r086,False,pf<1.15;dd>8.0;net<1.0,-1022.72288724,176,-8.37,0.705,0.222,9.2908,3,2,2,-4.864858160000001,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.015"", ""RANGE_SL_ATR_MULT"": ""0.88"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.55""}"
72,range_live_side_exit_repair_v1_r072,/root/by-bot/backtest_runs/portfolio_20260618_200453_range_live_side_exit_repair_v1_r072,False,pf<1.15;dd>8.0;net<1.0,-1022.89627769,164,-6.32,0.763,0.226,9.9522,2,3,1,-7.071918459999999,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.11"", ""RANGE_WICK_FRAC_MIN"": ""0.55""}"
77,range_live_side_exit_repair_v1_r077,/root/by-bot/backtest_runs/portfolio_20260618_201637_range_live_side_exit_repair_v1_r077,False,pf<1.15;dd>8.0;net<1.0,-1024.105564455,165,-7.59,0.729,0.224,9.857,2,3,1,-6.98904297,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.015"", ""RANGE_SL_ATR_MULT"": ""0.88"", ""RANGE_SL_WIDTH_FRAC"": ""0.11"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
87,range_live_side_exit_repair_v1_r087,/root/by-bot/backtest_runs/portfolio_20260618_204029_range_live_side_exit_repair_v1_r087,False,pf<1.15;dd>8.0;net<1.0,-1026.28532371,169,-6.35,0.767,0.225,11.0586,3,2,2,-6.49874914,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.015"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.55""}"
61,range_live_side_exit_repair_v1_r061,/root/by-bot/backtest_runs/portfolio_20260618_193925_range_live_side_exit_repair_v1_r061,False,pf<1.15;dd>8.0;net<1.0,-1027.45778065,199,-9.83,0.695,0.206,10.2243,3,2,2,-5.608787099999998,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""0.8"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.45""}"
57,range_live_side_exit_repair_v1_r057,/root/by-bot/backtest_runs/portfolio_20260618_193030_range_live_side_exit_repair_v1_r057,False,pf<1.15;dd>8.0;net<1.0,-1028.033949375,200,-8.98,0.723,0.21,10.3867,3,2,2,-6.456366249999999,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
55,range_live_side_exit_repair_v1_r055,/root/by-bot/backtest_runs/portfolio_20260618_192600_range_live_side_exit_repair_v1_r055,False,pf<1.15;dd>8.0;net<1.0,-1029.515729105,201,-10.31,0.684,0.204,10.7378,3,2,2,-5.912086069999998,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""0.8"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
90,range_live_side_exit_repair_v1_r090,/root/by-bot/backtest_runs/portfolio_20260618_204736_range_live_side_exit_repair_v1_r090,False,pf<1.15;dd>8.0;net<1.0,-1029.9062383550001,149,-8.32,0.671,0.208,11.1551,3,2,2,-6.328025569999999,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.015"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.11"", ""RANGE_WICK_FRAC_MIN"": ""0.55""}"
182,range_live_side_exit_repair_v1_r182,/root/by-bot/backtest_runs/portfolio_20260619_002535_range_live_side_exit_repair_v1_r182,False,pf<1.15;dd>8.0;net<1.0,-1030.43291022,362,-10.1,0.825,0.235,11.4118,3,2,2,-5.792873480000001,"{""RANGE_ALLOW_LONG"": ""1"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.015"", ""RANGE_SL_ATR_MULT"": ""0.88"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
80,range_live_side_exit_repair_v1_r080,/root/by-bot/backtest_runs/portfolio_20260618_202331_range_live_side_exit_repair_v1_r080,False,pf<1.15;dd>8.0;net<1.0,-1031.32557257,172,-9.67,0.656,0.203,11.4791,3,2,2,-6.64224838,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.015"", ""RANGE_SL_ATR_MULT"": ""0.88"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.45""}"
190,range_live_side_exit_repair_v1_r190,/root/by-bot/backtest_runs/portfolio_20260619_004851_range_live_side_exit_repair_v1_r190,False,pf<1.15;dd>8.0;net<1.0,-1033.232918665,353,-10.02,0.823,0.246,12.27,3,2,2,-6.579279110000003,"{""RANGE_ALLOW_LONG"": ""1"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.015"", ""RANGE_SL_ATR_MULT"": ""0.8"", ""RANGE_SL_WIDTH_FRAC"": ""0.11"", ""RANGE_WICK_FRAC_MIN"": ""0.45""}"
206,range_live_side_exit_repair_v1_r206,/root/by-bot/backtest_runs/portfolio_20260619_014113_range_live_side_exit_repair_v1_r206,False,pf<1.15;dd>8.0;net<1.0,-1033.63924147,337,-10.79,0.8,0.231,13.0248,3,2,2,-5.2277609799999984,"{""RANGE_ALLOW_LONG"": ""1"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.02"", ""RANGE_SL_ATR_MULT"": ""0.88"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.45""}"
180,range_live_side_exit_repair_v1_r180,/root/by-bot/backtest_runs/portfolio_20260619_002024_range_live_side_exit_repair_v1_r180,False,pf<1.15;dd>8.0;net<1.0,-1037.589022335,341,-11.2,0.797,0.235,13.4587,3,2,2,-6.95441489,"{""RANGE_ALLOW_LONG"": ""1"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.11"", ""RANGE_WICK_FRAC_MIN"": ""0.55""}"
111,range_live_side_exit_repair_v1_r111,/root/by-bot/backtest_runs/portfolio_20260618_213348_range_live_side_exit_repair_v1_r111,False,pf<1.15;dd>8.0;net<1.0;neg_months>3;neg_streak>2,-2017.0614198199999,220,-5.43,0.842,0.241,9.1727,4,1,4,-2.26667988,"{""RANGE_ALLOW_LONG"": ""1"", ""RANGE_ALLOW_SHORT"": ""0"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
117,range_live_side_exit_repair_v1_r117,/root/by-bot/backtest_runs/portfolio_20260618_214739_range_live_side_exit_repair_v1_r117,False,pf<1.15;dd>8.0;net<1.0;neg_months>3;neg_streak>2,-2018.3920269550001,210,-5.48,0.831,0.238,8.9528,5,0,5,-2.07361797,"{""RANGE_ALLOW_LONG"": ""1"", ""RANGE_ALLOW_SHORT"": ""0"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.45""}"
135,range_live_side_exit_repair_v1_r135,/root/by-bot/backtest_runs/portfolio_20260618_222853_range_live_side_exit_repair_v1_r135,False,pf<1.15;dd>8.0;net<1.0;neg_months>3,-2022.437132775,209,-7.86,0.763,0.225,9.43,4,1,2,-3.56342185,"{""RANGE_ALLOW_LONG"": ""1"", ""RANGE_ALLOW_SHORT"": ""0"", ""RANGE_RECLAIM_FRAC"": ""0.015"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.45""}"
123,range_live_side_exit_repair_v1_r123,/root/by-bot/backtest_runs/portfolio_20260618_220152_range_live_side_exit_repair_v1_r123,False,pf<1.15;dd>8.0;net<1.0;neg_months>3;neg_streak>2,-2022.773536155,209,-7.0,0.788,0.23,10.4497,4,1,4,-3.1160907699999996,"{""RANGE_ALLOW_LONG"": ""1"", ""RANGE_ALLOW_SHORT"": ""0"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.55""}"
